mnemonic,total_residents,residents_10,InActive_sick,Foreman,Skilled,Semi_skilled,Unskilled,Total_employed,Manufacturing,Well_Edu,Disabled,total_persons,poor_health
E00045161,211,NA,21,NA,13,17,12,93,17,83,61,320,36
E00045162,243,NA,27,NA,23,29,19,158,44,93,71,318,31
E00045163,204,NA,7,NA,18,9,21,134,16,114,40,274,29
E00045164,144,NA,15,NA,11,6,15,63,7,38,96,229,52
E00045165,231,NA,19,NA,15,14,14,111,17,93,62,371,38
E00045166,219,NA,16,NA,12,13,16,86,15,97,51,313,38
E00045167,250,NA,34,NA,12,13,16,74,13,74,73,389,49
E00045168,288,NA,22,NA,15,21,20,109,23,91,76,440,47
E00045169,217,NA,22,NA,11,18,21,96,18,82,64,345,38
E00045170,229,NA,22,NA,13,8,15,83,11,84,73,377,54
E00045171,280,NA,16,NA,11,14,29,99,13,107,94,467,59
E00045172,268,NA,13,NA,9,19,19,82,15,86,65,480,44
E00045173,285,NA,14,NA,8,23,25,94,21,87,72,485,47
E00045174,263,NA,29,NA,13,16,23,108,18,103,105,391,64
E00045175,327,NA,23,NA,9,15,16,104,16,124,97,507,63
E00045176,259,NA,22,NA,13,14,12,87,12,84,72,416,41
E00045177,193,NA,18,NA,11,7,13,68,10,70,77,302,51
E00045178,216,NA,11,NA,5,11,22,81,16,82,63,379,37
E00045179,265,NA,31,NA,10,12,26,85,13,91,92,443,50
E00045180,179,NA,9,NA,12,6,10,59,9,56,41,317,35
E00045181,250,NA,20,NA,13,8,15,87,14,88,79,393,51
E00045182,187,NA,15,NA,5,11,17,65,9,67,64,305,36
E00045183,266,NA,17,NA,12,14,23,99,15,96,65,448,36
E00045184,153,NA,8,NA,4,7,10,45,9,48,59,275,41
E00045185,152,NA,10,NA,7,6,14,50,6,41,66,235,33
E00045186,211,NA,19,NA,10,9,18,81,13,82,67,317,49
E00045187,172,NA,12,NA,7,3,23,50,10,54,48,286,40
E00045188,147,NA,24,NA,10,4,9,45,12,68,60,166,41
E00045189,187,NA,16,NA,13,10,6,66,8,70,50,262,25
E00045190,235,NA,9,NA,15,21,14,102,24,105,49,367,28
E00045191,207,NA,19,NA,13,10,20,78,11,83,72,324,39
E00045192,146,NA,23,NA,5,12,4,50,12,71,54,183,47
E00045193,221,NA,25,NA,5,10,14,71,9,71,79,352,39
E00045194,191,NA,24,NA,10,10,18,66,13,71,56,298,41
E00045195,225,NA,23,NA,14,12,9,96,17,116,69,335,43
E00045196,177,NA,14,NA,12,10,12,72,9,84,58,276,36
E00045197,197,NA,14,NA,11,10,17,92,16,99,52,323,25
E00045198,74,NA,14,NA,4,4,3,21,4,18,69,119,43
E00045199,199,NA,18,NA,3,5,14,61,10,89,66,305,37
E00045200,236,NA,25,NA,3,16,19,86,13,81,86,384,53
E00045201,200,NA,29,NA,10,9,21,69,12,70,71,286,35
E00045202,207,NA,31,NA,8,14,20,84,19,72,75,316,50
E00045203,226,NA,17,NA,8,9,18,102,10,100,58,335,40
E00045204,190,NA,16,NA,8,15,11,67,11,70,41,243,29
E00045205,169,NA,23,NA,9,9,17,75,12,73,60,242,36
E00045206,229,NA,25,NA,14,16,22,99,27,79,70,378,37
E00045207,164,NA,22,NA,10,7,13,67,10,60,64,213,30
E00045208,241,NA,18,NA,9,16,21,111,23,110,47,325,20
E00045209,250,NA,54,NA,10,3,12,110,20,107,97,277,41
E00045210,219,NA,20,NA,7,14,23,83,20,74,60,288,45
E00045211,178,NA,9,NA,0,15,8,104,7,109,30,192,16
E00045212,211,NA,18,NA,9,8,24,86,23,79,74,292,47
E00045213,237,NA,9,NA,19,17,29,137,27,94,64,345,28
E00045214,204,NA,25,NA,5,14,26,81,10,66,73,301,45
E00045215,220,NA,19,NA,15,26,26,131,36,85,60,334,46
E00045216,178,NA,12,NA,8,17,16,106,34,63,51,267,28
E00045217,223,NA,21,NA,5,3,15,65,10,94,69,362,39
E00045218,229,NA,8,NA,9,18,21,114,18,106,56,327,29
E00045219,244,NA,12,NA,9,18,20,100,22,91,67,395,34
E00045220,218,NA,27,NA,5,14,12,52,13,72,68,341,46
E00045221,198,NA,20,NA,6,14,12,81,12,78,61,294,30
E00045222,135,NA,14,NA,10,12,6,72,13,73,31,170,26
E00045223,188,NA,22,NA,5,21,21,80,14,58,69,307,41
E00045224,189,NA,10,NA,8,9,15,58,16,62,38,282,32
E00045225,199,NA,9,NA,6,9,15,55,5,67,42,327,31
E00045226,149,NA,11,NA,6,4,12,45,11,62,56,227,28
E00045227,244,NA,25,NA,5,10,15,62,5,71,82,374,53
E00045228,260,NA,15,NA,13,19,16,88,17,87,70,408,40
E00045229,214,NA,24,NA,8,9,31,95,12,78,71,281,49
E00045230,200,NA,24,NA,5,12,23,86,12,65,106,262,56
E00045231,202,NA,6,NA,11,8,13,58,5,50,50,330,30
E00045232,265,NA,15,NA,15,10,23,90,12,73,73,457,53
E00045233,209,NA,22,NA,13,9,14,76,16,72,64,311,41
E00045234,266,NA,22,NA,11,12,20,64,15,68,85,420,43
E00045235,253,NA,17,NA,10,21,18,78,26,73,67,435,42
E00045236,245,NA,34,NA,14,14,12,86,20,81,89,339,56
E00045237,260,NA,57,NA,9,14,11,69,15,74,100,389,44
E00045238,188,NA,14,NA,6,16,21,82,15,59,66,268,39
E00045239,270,NA,22,NA,10,12,19,82,9,94,75,434,48
E00045240,165,NA,18,NA,9,6,13,62,10,68,63,252,38
E00045241,274,NA,25,NA,6,16,20,77,20,80,80,424,52
E00045242,162,NA,14,NA,7,10,11,62,5,56,68,239,39
E00045243,120,NA,14,NA,10,6,12,48,9,60,31,145,23
E00045244,204,NA,16,NA,7,15,13,65,10,70,68,342,42
E00045245,227,NA,24,NA,9,10,10,86,20,80,79,325,64
E00045246,166,NA,16,NA,9,5,17,56,9,65,59,266,37
E00045247,157,NA,5,NA,9,10,8,57,11,47,41,236,22
E00045248,225,NA,19,NA,10,17,15,81,19,74,62,365,45
E00045249,174,NA,16,NA,14,13,16,95,18,65,78,256,50
E00045250,176,NA,21,NA,5,11,7,102,16,85,92,250,40
E00045251,155,NA,14,NA,9,8,12,87,17,61,78,258,36
E00045252,189,NA,11,NA,16,11,23,111,18,77,68,292,37
E00045253,209,NA,4,NA,25,13,15,139,29,104,43,275,25
E00045254,181,NA,17,NA,14,21,19,108,32,70,52,250,24
E00045255,308,NA,6,NA,23,10,23,251,35,193,33,396,14
E00045256,235,NA,13,NA,15,21,23,115,29,93,70,354,43
E00045257,284,NA,10,NA,28,23,32,224,35,135,46,378,23
E00045258,193,NA,13,NA,16,10,14,121,19,86,74,297,41
E00045259,171,NA,8,NA,7,9,20,99,21,69,52,284,36
E00045260,199,NA,5,NA,15,13,9,145,10,127,24,253,14
E00045261,194,NA,15,NA,18,26,14,124,27,93,42,232,22
E00045262,214,NA,19,NA,13,14,27,104,14,64,76,319,45
E00045263,147,NA,13,NA,7,10,21,73,17,54,47,217,21
E00045264,220,NA,11,NA,22,22,22,125,24,72,80,316,42
E00045265,214,NA,17,NA,19,21,21,122,30,75,100,313,55
E00045266,196,NA,23,NA,14,11,33,108,19,74,64,279,40
E00045267,117,NA,7,NA,5,3,9,60,8,43,54,194,30
E00045268,158,NA,13,NA,11,11,13,90,19,63,28,209,13
E00045269,240,NA,10,NA,19,25,29,178,35,120,34,317,15
E00045270,160,NA,11,NA,13,8,18,90,17,64,54,231,36
E00045271,140,NA,14,NA,0,8,13,54,13,48,53,225,22
E00045272,128,NA,14,NA,8,4,14,59,12,46,54,224,26
E00045273,135,NA,9,NA,3,10,14,53,13,49,39,202,20
E00045274,128,NA,8,NA,5,8,15,62,14,48,44,216,25
E00045275,239,NA,15,NA,17,11,17,188,30,128,38,328,21
E00045276,203,NA,17,NA,20,20,17,100,25,66,75,272,44
E00045277,233,NA,22,NA,25,21,24,130,31,87,66,329,39
E00045278,280,NA,9,NA,15,12,15,192,22,199,52,359,21
E00045279,195,NA,6,NA,8,11,18,122,15,111,34,248,18
E00045280,176,NA,13,NA,12,12,18,106,29,64,45,237,24
E00045281,194,NA,17,NA,16,12,18,100,18,72,82,286,49
E00045282,170,NA,8,NA,11,12,12,121,18,81,36,201,22
E00045283,232,NA,18,NA,12,19,22,130,20,85,79,325,34
E00045284,190,NA,18,NA,9,18,20,96,17,70,62,288,29
E00045285,186,NA,12,NA,12,18,14,101,16,61,74,269,39
E00045286,204,NA,11,NA,17,21,13,120,17,76,75,309,45
E00045287,179,NA,13,NA,12,15,16,90,22,59,58,284,34
E00045288,212,NA,21,NA,18,24,25,123,28,85,63,299,30
E00045289,119,NA,9,NA,8,9,7,46,11,31,66,197,36
E00045290,178,NA,11,NA,13,21,19,103,21,60,57,255,33
E00045291,176,NA,10,NA,14,14,19,97,21,73,38,242,25
E00045292,203,NA,24,NA,20,14,18,92,13,60,68,279,37
E00045293,175,NA,14,NA,19,9,12,90,15,69,76,261,40
E00045294,172,NA,8,NA,17,8,11,80,6,75,73,266,45
E00045295,158,NA,11,NA,15,14,14,86,14,65,60,275,31
E00045296,260,NA,11,NA,26,23,25,184,36,118,55,357,32
E00045297,270,NA,6,NA,28,19,22,189,30,141,40,359,21
E00045298,263,NA,12,NA,22,24,29,181,35,131,58,355,35
E00045299,196,NA,8,NA,15,6,15,107,18,95,74,326,39
E00045300,221,NA,24,NA,17,16,26,133,28,98,76,324,38
E00045301,251,NA,7,NA,21,20,25,173,32,117,41,309,22
E00045302,148,NA,13,NA,12,8,11,55,9,64,52,221,29
E00045303,243,NA,10,NA,17,15,26,153,30,102,72,370,35
E00045304,163,NA,6,NA,15,11,22,67,17,49,63,259,28
E00045305,283,NA,15,NA,27,22,31,203,32,136,56,362,25
E00045306,262,NA,6,NA,27,22,31,202,47,125,36,347,17
E00045307,157,NA,20,NA,11,16,17,85,19,51,77,227,44
E00045308,214,NA,13,NA,13,16,20,120,28,92,58,291,34
E00045309,169,NA,10,NA,9,8,19,93,23,72,59,233,34
E00045310,185,NA,21,NA,15,7,20,89,12,61,62,252,34
E00045311,175,NA,11,NA,6,14,27,92,16,49,72,258,49
E00045312,280,NA,8,NA,25,27,25,212,41,138,38,365,20
E00045313,237,NA,11,NA,22,14,10,147,30,113,55,315,21
E00045314,137,NA,19,NA,8,8,15,55,13,54,48,181,30
E00045315,182,NA,21,NA,13,14,17,87,15,55,78,302,42
E00045316,165,NA,13,NA,6,9,17,67,9,45,59,262,23
E00045317,418,NA,14,NA,19,10,51,187,18,303,53,478,29
E00045318,230,NA,16,NA,9,20,31,124,16,98,65,308,39
E00045319,169,NA,13,NA,6,11,15,77,11,66,57,237,30
E00045320,210,NA,21,NA,18,16,21,118,25,77,79,304,41
E00045321,151,NA,12,NA,14,14,12,73,18,59,68,247,36
E00045322,150,NA,17,NA,14,5,13,59,9,47,61,238,36
E00045323,134,NA,13,NA,7,6,12,57,11,36,68,237,38
E00045324,192,NA,19,NA,20,10,15,110,19,71,70,296,36
E00045325,210,NA,20,NA,16,22,22,113,20,71,56,327,31
E00045326,228,NA,10,NA,16,8,9,152,20,162,48,310,17
E00045327,201,NA,11,NA,10,9,9,128,16,119,50,272,26
E00045328,278,NA,12,NA,17,21,10,177,32,150,58,384,34
E00045329,222,NA,20,NA,17,13,24,112,24,98,71,339,38
E00045330,215,NA,20,NA,18,10,12,85,12,74,89,314,37
E00045331,189,NA,13,NA,18,13,20,109,21,56,67,301,39
E00045332,181,NA,17,NA,15,5,17,103,17,73,63,270,42
E00045333,210,NA,20,NA,9,15,14,117,21,79,69,308,33
E00045334,201,NA,21,NA,13,10,18,80,17,59,91,334,53
E00045335,181,NA,9,NA,10,13,18,81,17,65,50,289,28
E00045336,206,NA,16,NA,21,15,19,125,25,80,56,311,35
E00045337,187,NA,26,NA,11,11,9,87,19,64,70,292,39
E00045338,218,NA,10,NA,27,13,20,125,19,74,56,306,39
E00045339,235,NA,24,NA,16,14,18,116,23,84,143,416,75
E00045340,177,NA,19,NA,16,19,20,94,24,49,59,268,32
E00045341,190,NA,18,NA,22,15,21,120,19,69,57,273,33
E00045342,212,NA,13,NA,21,16,12,127,33,85,69,278,28
E00045343,230,NA,15,NA,33,15,17,140,21,101,65,302,27
E00045344,144,NA,14,NA,4,4,7,56,11,51,61,230,44
E00045345,263,NA,34,NA,17,21,27,134,31,85,86,385,59
E00045346,210,NA,10,NA,18,15,15,118,20,76,56,313,33
E00045347,207,NA,12,NA,18,17,12,120,23,88,63,289,36
E00045348,236,NA,22,NA,20,23,19,127,21,84,69,342,43
E00045349,238,NA,3,NA,29,15,12,173,35,129,36,312,15
E00045350,212,NA,20,NA,20,20,26,129,28,81,54,344,32
E00045351,247,NA,42,NA,18,16,25,129,23,86,84,368,47
E00045352,234,NA,17,NA,25,17,22,143,33,83,81,350,43
E00045353,255,NA,12,NA,28,21,22,177,35,90,100,380,54
E00045354,237,NA,13,NA,26,19,20,158,29,94,66,328,31
E00045355,219,NA,17,NA,16,18,26,119,15,77,76,326,39
E00045356,176,NA,10,NA,14,9,22,99,21,52,69,281,29
E00045357,193,NA,11,NA,25,9,31,118,21,68,54,321,30
E00045358,183,NA,11,NA,13,18,20,119,18,73,40,257,27
E00045359,244,NA,12,NA,27,22,19,165,31,98,44,373,27
E00045360,237,NA,11,NA,24,20,18,155,30,80,52,341,24
E00045361,219,NA,11,NA,23,15,11,139,21,93,53,281,26
E00045362,255,NA,36,NA,11,16,19,120,23,88,116,375,59
E00045363,230,NA,21,NA,25,23,20,115,31,69,74,338,48
E00045364,218,NA,4,NA,11,12,22,154,22,91,42,308,22
E00045365,225,NA,8,NA,22,20,23,162,21,90,59,310,25
E00045366,206,NA,12,NA,17,13,16,124,28,79,54,291,31
E00045367,119,NA,8,NA,3,7,11,57,9,37,64,197,24
E00045368,183,NA,12,NA,25,11,15,131,26,68,48,280,17
E00045369,300,NA,7,NA,32,25,28,239,56,158,42,396,21
E00045370,243,NA,12,NA,25,11,17,147,20,107,73,333,30
E00045371,246,NA,10,NA,30,11,12,152,25,107,60,320,24
E00045372,247,NA,9,NA,26,12,20,169,27,108,55,338,22
E00045373,238,NA,9,NA,21,14,19,171,32,125,67,346,27
E00045374,287,NA,14,NA,17,14,10,165,27,177,61,402,33
E00045375,266,NA,20,NA,14,22,27,146,26,110,84,391,45
E00045376,218,NA,19,NA,17,15,13,124,19,101,52,320,34
E00045377,251,NA,6,NA,10,15,10,158,24,174,69,364,29
E00045378,163,NA,10,NA,8,5,6,97,15,100,63,246,33
E00045379,237,NA,17,NA,11,11,21,118,26,90,82,333,50
E00045380,199,NA,20,NA,21,4,21,118,17,92,61,271,40
E00045381,231,NA,20,NA,18,10,16,114,17,79,87,345,51
E00045382,206,NA,6,NA,20,7,6,137,27,126,46,289,27
E00045383,232,NA,20,NA,13,26,19,134,34,95,72,372,40
E00045384,200,NA,22,NA,13,4,16,96,11,75,89,324,55
E00045385,146,NA,27,NA,6,10,13,61,13,47,100,219,60
E00045386,254,NA,7,NA,9,15,14,170,17,159,47,350,32
E00045387,242,NA,17,NA,8,8,15,158,17,150,54,330,15
E00045388,247,NA,32,NA,21,15,28,116,21,84,81,365,45
E00045389,146,NA,23,NA,3,7,8,49,12,47,79,211,45
E00045390,209,NA,5,NA,19,5,16,137,25,123,42,302,16
E00045391,221,NA,7,NA,19,5,12,150,17,116,66,337,34
E00045392,135,NA,16,NA,3,5,5,55,8,45,82,231,40
E00045393,175,NA,16,NA,12,8,15,81,15,59,57,243,37
E00045394,224,NA,32,NA,15,21,12,112,32,73,90,335,56
E00045395,190,NA,14,NA,10,16,16,87,21,62,92,286,44
E00045396,216,NA,18,NA,18,18,17,118,15,75,73,300,45
E00045397,218,NA,16,NA,14,14,16,119,27,79,77,323,48
E00045398,166,NA,37,NA,9,7,11,68,9,48,85,249,37
E00045399,204,NA,18,NA,11,12,16,88,12,82,77,310,43
E00045400,190,NA,14,NA,16,10,20,107,18,66,62,297,34
E00045401,199,NA,19,NA,17,21,15,107,23,62,64,297,34
E00045402,264,NA,23,NA,20,19,28,139,30,99,84,383,50
E00045403,210,NA,10,NA,15,20,22,137,20,83,61,309,27
E00045404,72,NA,10,NA,5,3,3,17,6,17,78,129,51
E00045405,150,NA,17,NA,8,17,9,69,12,46,72,217,41
E00045406,242,NA,19,NA,26,18,17,129,20,81,61,347,38
E00045407,235,NA,11,NA,28,17,24,135,29,95,56,322,38
E00045408,172,NA,17,NA,13,8,14,86,12,57,68,253,40
E00045409,159,NA,6,NA,16,17,13,98,13,68,53,229,32
E00045410,198,NA,18,NA,21,11,18,94,19,74,58,302,33
E00045411,228,NA,24,NA,22,20,17,135,21,78,68,306,49
E00045412,212,NA,19,NA,16,8,33,116,16,83,63,315,41
E00045413,76,NA,15,NA,8,0,3,13,0,31,135,189,52
E00045414,164,NA,10,NA,12,18,16,95,17,70,51,255,21
E00045415,209,NA,6,NA,9,4,18,143,24,132,45,262,21
E00045416,213,NA,3,NA,24,20,12,152,33,112,33,296,17
E00045417,195,NA,9,NA,12,9,5,142,12,128,43,290,25
E00045418,119,NA,12,NA,3,3,6,72,10,59,109,232,38
E00045419,225,NA,14,NA,13,11,24,124,17,93,65,323,32
E00045420,240,NA,16,NA,26,15,20,167,28,128,49,322,37
E00045421,250,NA,16,NA,14,16,16,153,22,123,65,358,37
E00045422,205,NA,3,NA,19,3,6,161,19,159,32,278,17
E00045423,221,NA,12,NA,10,7,10,160,14,155,44,329,22
E00045424,257,NA,14,NA,15,5,5,161,16,181,112,414,41
E00045425,170,NA,5,NA,9,10,10,105,15,89,47,256,16
E00045426,160,NA,13,NA,8,3,6,80,7,73,62,215,26
E00045427,221,NA,12,NA,21,17,14,138,20,103,54,308,30
E00045428,227,NA,18,NA,17,9,16,134,18,101,68,309,41
E00045429,202,NA,7,NA,16,15,12,162,27,132,49,283,23
E00045430,180,NA,7,NA,6,13,12,100,24,82,65,259,24
E00045431,232,NA,11,NA,13,8,17,160,14,149,52,344,33
E00045432,186,NA,6,NA,10,23,14,109,31,74,51,263,24
E00045433,201,NA,5,NA,8,6,4,127,16,135,48,297,28
E00045434,159,NA,15,NA,12,4,13,83,11,79,49,242,26
E00045435,195,NA,22,NA,11,9,23,103,15,73,65,268,45
E00045436,182,NA,6,NA,10,8,11,122,20,103,47,258,25
E00045437,120,NA,11,NA,6,0,5,58,7,60,87,217,43
E00045438,180,NA,16,NA,4,3,4,95,12,103,75,275,37
E00045439,197,NA,11,NA,17,6,6,152,15,129,40,259,16
E00045440,139,NA,3,NA,4,4,10,93,14,87,72,212,30
E00045441,200,NA,5,NA,15,9,11,142,22,140,54,306,30
E00045442,222,NA,6,NA,10,11,13,160,18,149,59,352,29
E00045443,239,NA,11,NA,15,11,10,167,21,146,59,312,37
E00045444,225,NA,13,NA,7,7,10,149,17,160,36,315,16
E00045445,211,NA,8,NA,12,12,19,158,16,122,52,288,31
E00045446,218,NA,8,NA,12,8,6,136,9,140,59,310,33
E00045447,187,NA,10,NA,13,6,8,140,25,134,80,282,29
E00045448,135,NA,3,NA,8,7,3,99,9,74,55,206,30
E00045449,233,NA,18,NA,15,13,15,174,24,137,93,352,64
E00045450,232,NA,13,NA,17,9,9,148,21,141,89,328,50
E00045451,235,NA,3,NA,13,15,9,166,29,158,27,301,14
E00045452,228,NA,19,NA,14,17,16,121,18,115,68,329,53
E00045453,195,NA,19,NA,16,15,15,124,27,83,52,281,31
E00045454,219,NA,15,NA,10,11,17,126,18,117,65,312,29
E00045455,156,NA,16,NA,7,8,14,61,10,70,48,232,36
E00045456,199,NA,19,NA,14,19,15,113,28,80,46,260,23
E00045457,181,NA,7,NA,8,14,18,90,17,79,52,303,28
E00045458,207,NA,16,NA,8,11,6,133,14,121,56,274,31
E00045459,245,NA,20,NA,14,14,26,136,16,81,71,340,38
E00045460,230,NA,17,NA,20,20,16,135,29,110,69,313,35
E00045461,207,NA,12,NA,19,15,24,138,27,90,46,297,28
E00045462,220,NA,17,NA,18,29,17,133,26,93,77,368,43
E00045463,217,NA,16,NA,13,14,18,121,23,77,73,322,34
E00045464,213,NA,9,NA,13,14,12,155,19,122,32,253,11
E00045465,196,NA,10,NA,14,6,16,134,13,107,65,294,19
E00045466,189,NA,3,NA,11,18,20,132,19,103,49,273,22
E00045467,221,NA,13,NA,13,13,17,123,23,101,45,314,27
E00045468,197,NA,9,NA,13,16,10,137,22,124,36,248,21
E00045469,227,NA,9,NA,8,9,16,152,17,145,37,293,23
E00045470,251,NA,5,NA,14,11,13,188,22,177,43,315,22
E00045471,263,NA,6,NA,17,16,22,182,27,144,71,364,34
E00045472,190,NA,19,NA,5,0,14,85,14,86,72,289,42
E00045473,234,NA,13,NA,16,9,8,162,15,150,51,299,28
E00045474,230,NA,15,NA,12,6,9,146,16,148,57,299,32
E00045475,187,NA,10,NA,13,13,20,120,21,98,47,261,28
E00045476,217,NA,7,NA,10,19,23,126,29,107,78,319,41
E00045477,154,NA,13,NA,6,7,5,88,7,84,53,221,30
E00045478,172,NA,11,NA,8,16,12,124,16,89,46,221,28
E00045479,266,NA,11,NA,13,12,10,185,21,193,58,339,22
E00045480,228,NA,8,NA,24,15,13,146,28,113,46,339,24
E00045481,220,NA,8,NA,14,16,16,149,17,130,33,298,15
E00045482,136,NA,6,NA,5,3,7,80,11,91,52,220,21
E00045483,272,NA,5,NA,17,24,22,188,35,160,37,345,18
E00045484,218,NA,8,NA,16,14,15,152,35,130,46,277,21
E00045485,119,NA,21,NA,4,4,6,47,4,57,57,137,34
E00045486,247,NA,13,NA,15,16,17,171,22,153,44,343,21
E00045487,220,NA,9,NA,9,19,27,141,28,90,57,314,22
E00045488,220,NA,8,NA,9,10,14,140,20,144,48,299,21
E00045489,104,NA,8,NA,0,3,5,32,4,36,86,165,44
E00045490,187,NA,6,NA,11,12,7,139,22,127,37,257,25
E00045491,200,NA,13,NA,17,25,15,110,26,93,71,280,39
E00045492,144,NA,5,NA,5,4,8,83,4,82,21,180,8
E00045493,257,NA,12,NA,15,7,15,184,19,178,45,378,14
E00045494,229,NA,12,NA,6,5,12,176,15,173,32,329,19
E00045495,179,NA,8,NA,12,10,9,95,13,96,50,245,26
