
"TS052 - Occupancy rating for bedrooms"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"2021 output area","mnemonic","Total: All households","Occupancy rating of bedrooms: +2 or more","Occupancy rating of bedrooms: +1","Occupancy rating of bedrooms: 0","Occupancy rating of bedrooms: -1","Occupancy rating of bedrooms: -2 or less"
"E00046721","E00046721",196,96,74,23,3,0
"E00046722","E00046722",141,52,57,28,4,0
"E00046723","E00046723",125,59,39,24,3,0
"E00046724","E00046724",124,73,40,11,0,0
"E00046725","E00046725",143,32,34,54,15,8
"E00046726","E00046726",129,69,34,23,3,0
"E00046727","E00046727",112,55,40,14,3,0
"E00046728","E00046728",131,33,49,46,3,0
"E00046729","E00046729",114,69,29,16,0,0
"E00046730","E00046730",124,85,24,14,1,0
"E00046731","E00046731",126,78,29,19,0,0
"E00046732","E00046732",169,16,63,86,4,0
"E00046733","E00046733",106,29,26,36,15,0
"E00046734","E00046734",113,20,52,39,2,0
"E00046735","E00046735",106,70,25,11,0,0
"E00046736","E00046736",133,57,42,29,2,3
"E00046737","E00046737",113,64,36,12,1,0
"E00046738","E00046738",135,67,34,31,3,0
"E00046739","E00046739",124,71,34,18,1,0
"E00046740","E00046740",134,44,57,30,3,0
"E00046741","E00046741",97,27,50,18,2,0
"E00046742","E00046742",142,73,49,20,0,0
"E00046743","E00046743",128,65,39,19,5,0
"E00046744","E00046744",121,91,26,3,1,0
"E00046745","E00046745",142,68,46,28,0,0
"E00046746","E00046746",117,55,42,12,5,3
"E00046747","E00046747",149,28,44,72,5,0
"E00046748","E00046748",128,74,40,12,2,0
"E00046749","E00046749",141,85,42,12,2,0
"E00046750","E00046750",175,40,64,66,5,0
"E00046751","E00046751",130,76,41,11,2,0
"E00046752","E00046752",146,34,59,47,6,0
"E00046753","E00046753",128,62,37,24,5,0
"E00046754","E00046754",111,36,51,21,3,0
"E00046755","E00046755",240,65,113,56,6,0
"E00046756","E00046756",147,37,60,44,5,1
"E00046757","E00046757",165,83,55,22,4,1
"E00046758","E00046758",126,56,42,25,2,1
"E00046759","E00046759",133,51,46,29,7,0
"E00046760","E00046760",141,28,69,35,8,1
"E00046761","E00046761",130,39,54,36,1,0
"E00046762","E00046762",140,44,63,29,4,0
"E00046763","E00046763",195,30,106,53,4,2
"E00046764","E00046764",144,40,68,29,7,0
"E00046765","E00046765",135,55,48,27,4,1
"E00046766","E00046766",147,32,73,38,4,0
"E00046767","E00046767",109,42,49,16,1,1
"E00046768","E00046768",123,28,38,53,3,1
"E00046769","E00046769",120,39,62,13,6,0
"E00046770","E00046770",211,48,55,75,32,1
"E00046771","E00046771",119,50,38,28,1,2
"E00046772","E00046772",133,66,37,25,5,0
"E00046773","E00046773",127,35,54,36,2,0
"E00046774","E00046774",141,55,41,41,3,1
"E00046775","E00046775",132,49,43,33,6,1
"E00046776","E00046776",145,73,46,21,3,2
"E00046777","E00046777",161,52,71,33,5,0
"E00046778","E00046778",129,59,45,22,3,0
"E00046779","E00046779",130,57,43,26,4,0
"E00046780","E00046780",131,65,45,16,2,3
"E00046781","E00046781",126,50,41,28,6,1
"E00046782","E00046782",116,42,50,20,4,0
"E00046783","E00046783",122,56,44,16,6,0
"E00046784","E00046784",110,39,34,27,10,0
"E00046785","E00046785",131,63,43,18,7,0
"E00046786","E00046786",108,33,27,40,8,0
"E00046787","E00046787",126,33,48,37,6,2
"E00046788","E00046788",114,25,45,35,8,1
"E00046789","E00046789",124,24,49,42,7,2
"E00046790","E00046790",144,20,56,52,13,3
"E00046791","E00046791",110,22,45,38,4,1
"E00046792","E00046792",135,32,59,38,6,0
"E00046793","E00046793",112,56,39,13,3,1
"E00046794","E00046794",100,31,31,33,5,0
"E00046795","E00046795",118,27,39,44,8,0
"E00046796","E00046796",116,32,37,38,9,0
"E00046797","E00046797",116,42,31,33,10,0
"E00046798","E00046798",128,48,50,28,2,0
"E00046799","E00046799",111,25,48,31,5,2
"E00046800","E00046800",129,36,44,43,6,0
"E00046801","E00046801",119,47,41,25,3,3
"E00046802","E00046802",105,29,26,38,10,2
"E00046803","E00046803",146,31,57,47,10,1
"E00046804","E00046804",102,14,37,42,9,0
"E00046805","E00046805",125,44,57,20,4,0
"E00046806","E00046806",131,54,51,22,4,0
"E00046807","E00046807",117,54,39,22,2,0
"E00046808","E00046808",118,46,54,16,1,1
"E00046809","E00046809",99,51,28,17,2,1
"E00046810","E00046810",127,42,36,45,3,1
"E00046811","E00046811",107,48,37,19,3,0
"E00046812","E00046812",118,33,29,55,1,0
"E00046813","E00046813",133,42,65,24,2,0
"E00046814","E00046814",141,73,47,16,4,1
"E00046815","E00046815",124,57,39,24,3,1
"E00046816","E00046816",134,55,49,25,5,0
"E00046817","E00046817",130,57,37,27,9,0
"E00046818","E00046818",129,35,58,33,3,0
"E00046819","E00046819",117,14,63,32,6,2
"E00046820","E00046820",155,40,67,40,6,2
"E00046821","E00046821",122,10,50,52,8,2
"E00046822","E00046822",122,17,27,73,4,1
"E00046823","E00046823",132,10,79,37,6,0
"E00046824","E00046824",126,39,46,33,8,0
"E00046825","E00046825",123,20,38,53,10,2
"E00046826","E00046826",130,48,57,22,1,2
"E00046827","E00046827",125,18,55,50,2,0
"E00046828","E00046828",135,32,59,38,6,0
"E00046829","E00046829",133,43,56,30,4,0
"E00046830","E00046830",150,56,60,26,8,0
"E00046831","E00046831",146,53,55,32,3,3
"E00046832","E00046832",116,44,48,19,5,0
"E00046833","E00046833",103,42,40,21,0,0
"E00046834","E00046834",122,47,37,32,5,1
"E00046835","E00046835",131,21,34,62,11,3
"E00046837","E00046837",119,56,36,24,3,0
"E00046838","E00046838",116,52,29,21,11,3
"E00046839","E00046839",78,5,19,52,2,0
"E00046840","E00046840",128,46,42,36,4,0
"E00046841","E00046841",109,49,34,22,4,0
"E00046842","E00046842",148,59,57,28,4,0
"E00046843","E00046843",120,39,49,31,1,0
"E00046844","E00046844",142,49,59,29,5,0
"E00046845","E00046845",115,43,31,20,16,5
"E00046846","E00046846",132,50,48,30,3,1
"E00046847","E00046847",115,39,44,29,3,0
"E00046848","E00046848",89,23,10,55,0,1
"E00046849","E00046849",119,36,41,38,4,0
"E00046850","E00046850",124,34,45,33,10,2
"E00046851","E00046851",127,45,56,23,3,0
"E00046852","E00046852",101,25,29,43,4,0
"E00046853","E00046853",148,66,40,32,7,3
"E00046854","E00046854",133,49,61,20,3,0
"E00046855","E00046855",236,67,67,84,17,1
"E00046856","E00046856",138,39,47,42,9,1
"E00046857","E00046857",133,48,44,31,10,0
"E00046858","E00046858",116,48,39,19,6,4
"E00046859","E00046859",125,49,40,26,6,4
"E00046860","E00046860",123,47,46,24,6,0
"E00046861","E00046861",125,45,34,40,5,1
"E00046862","E00046862",119,34,53,22,10,0
"E00046863","E00046863",111,21,50,35,5,0
"E00046864","E00046864",120,54,30,27,9,0
"E00046865","E00046865",121,51,32,26,8,4
"E00046866","E00046866",110,45,29,25,7,4
"E00046867","E00046867",95,32,26,23,14,0
"E00046868","E00046868",100,39,27,24,8,2
"E00046869","E00046869",153,36,46,46,23,2
"E00046870","E00046870",132,31,56,28,14,3
"E00046871","E00046871",113,34,47,25,7,0
"E00046873","E00046873",132,44,47,22,16,3
"E00046874","E00046874",147,45,37,41,17,7
"E00046875","E00046875",125,65,32,20,6,2
"E00046876","E00046876",123,64,29,24,5,1
"E00046877","E00046877",105,39,39,21,5,1
"E00046878","E00046878",127,73,27,25,2,0
"E00046879","E00046879",130,34,51,41,4,0
"E00046880","E00046880",93,37,32,21,2,1
"E00046881","E00046881",128,52,40,27,9,0
"E00046883","E00046883",118,47,46,20,3,2
"E00046884","E00046884",136,56,46,28,5,1
"E00046885","E00046885",161,103,38,18,1,1
"E00046886","E00046886",158,64,50,40,4,0
"E00046887","E00046887",112,41,37,27,7,0
"E00046888","E00046888",111,38,37,26,5,5
"E00046889","E00046889",133,66,49,14,3,1
"E00046890","E00046890",130,44,42,41,2,1
"E00046891","E00046891",139,52,59,25,3,0
"E00046892","E00046892",125,55,42,26,2,0
"E00046893","E00046893",123,42,42,31,5,3
"E00046894","E00046894",91,43,28,19,1,0
"E00046895","E00046895",112,43,46,19,4,0
"E00046896","E00046896",121,51,40,22,7,1
"E00046897","E00046897",127,36,55,32,3,1
"E00046898","E00046898",119,65,32,17,4,1
"E00046899","E00046899",114,56,36,19,3,0
"E00046900","E00046900",125,26,60,37,2,0
"E00046901","E00046901",143,46,64,30,3,0
"E00046902","E00046902",131,51,40,24,16,0
"E00046903","E00046903",144,48,49,32,13,2
"E00046904","E00046904",136,58,46,23,8,1
"E00046905","E00046905",148,56,72,19,1,0
"E00046906","E00046906",128,29,34,50,12,3
"E00046907","E00046907",124,26,33,52,12,1
"E00046908","E00046908",137,51,41,37,5,3
"E00046909","E00046909",119,39,28,42,7,3
"E00046910","E00046910",136,65,47,22,2,0
"E00046911","E00046911",149,118,26,3,1,1
"E00046912","E00046912",123,70,24,26,2,1
"E00046913","E00046913",114,56,37,17,3,1
"E00046914","E00046914",196,71,45,76,4,0
"E00046915","E00046915",151,71,52,24,3,1
"E00046916","E00046916",116,57,38,21,0,0
"E00046917","E00046917",121,40,47,29,5,0
"E00046918","E00046918",126,62,44,15,4,1
"E00046919","E00046919",122,68,35,16,2,1
"E00046920","E00046920",118,45,50,22,1,0
"E00046921","E00046921",135,62,46,27,0,0
"E00046922","E00046922",128,78,31,18,1,0
"E00046923","E00046923",182,51,83,45,2,1
"E00046924","E00046924",131,76,41,11,3,0
"E00046925","E00046925",131,86,27,16,2,0
"E00046926","E00046926",120,23,74,19,4,0
"E00046927","E00046927",115,67,33,13,0,2
"E00046928","E00046928",146,73,31,38,4,0
"E00046929","E00046929",136,80,45,10,1,0
"E00046930","E00046930",132,43,41,40,4,4
"E00046931","E00046931",134,75,36,21,1,1
"E00046932","E00046932",115,37,45,31,1,1
"E00046933","E00046933",151,31,67,50,3,0
"E00046934","E00046934",174,80,44,45,4,1
"E00046935","E00046935",150,85,51,13,1,0
"E00046936","E00046936",139,65,45,24,3,2
"E00046937","E00046937",122,64,44,12,2,0
"E00046938","E00046938",136,61,46,21,5,3
"E00046939","E00046939",115,58,37,17,3,0
"E00046940","E00046940",120,43,25,42,10,0
"E00046941","E00046941",137,42,57,27,9,2
"E00046942","E00046942",126,37,52,31,6,0
"E00046943","E00046943",124,23,43,48,9,1
"E00046944","E00046944",123,44,33,40,5,1
"E00046945","E00046945",118,63,32,20,3,0
"E00046946","E00046946",120,45,35,28,11,1
"E00046947","E00046947",120,28,41,49,1,1
"E00046948","E00046948",128,44,55,23,5,1
"E00046949","E00046949",119,41,28,43,4,3
"E00046950","E00046950",166,27,33,78,23,5
"E00046951","E00046951",118,46,39,31,2,0
"E00046952","E00046952",121,25,38,48,8,2
"E00046953","E00046953",128,14,52,42,20,0
"E00046954","E00046954",126,43,44,36,3,0
"E00046955","E00046955",130,50,49,26,5,0
"E00046956","E00046956",130,21,45,57,6,1
"E00046957","E00046957",128,32,34,50,9,3
"E00046958","E00046958",116,28,42,35,8,3
"E00046959","E00046959",103,9,22,64,7,1
"E00046960","E00046960",131,34,36,50,9,2
"E00046961","E00046961",141,64,44,26,4,3
"E00046962","E00046962",96,22,27,35,8,4
"E00046963","E00046963",134,27,29,65,13,0
"E00046964","E00046964",126,31,36,45,12,2
"E00046965","E00046965",136,32,41,55,7,1
"E00046966","E00046966",134,37,27,63,6,1
"E00046967","E00046967",144,105,24,8,4,3
"E00046968","E00046968",124,54,35,32,3,0
"E00046969","E00046969",121,77,33,9,2,0
"E00046970","E00046970",113,24,69,20,0,0
"E00046971","E00046971",130,83,33,10,1,3
"E00046973","E00046973",103,17,30,41,13,2
"E00046974","E00046974",83,11,26,38,7,1
"E00046975","E00046975",152,33,43,56,17,3
"E00046976","E00046976",125,14,16,78,7,10
"E00046977","E00046977",132,36,35,40,15,6
"E00046978","E00046978",107,47,30,18,7,5
"E00046979","E00046979",140,72,35,20,10,3
"E00046980","E00046980",141,29,37,46,19,10
"E00046981","E00046981",126,26,34,45,15,6
"E00046982","E00046982",127,15,37,59,15,1
"E00046983","E00046983",122,7,16,80,13,6
"E00046984","E00046984",115,21,21,45,18,10
"E00046985","E00046985",133,26,37,39,20,11
"E00046986","E00046986",126,41,22,29,24,10
"E00046987","E00046987",91,31,34,21,3,2
"E00046988","E00046988",120,53,40,18,5,4
"E00046989","E00046989",110,42,31,24,12,1
"E00046990","E00046990",134,56,31,38,8,1
"E00046991","E00046991",116,42,44,20,8,2
"E00046993","E00046993",103,40,37,21,5,0
"E00046994","E00046994",111,40,35,21,11,4
"E00046995","E00046995",107,45,46,14,1,1
"E00046996","E00046996",128,61,31,24,6,6
"E00046997","E00046997",76,11,14,35,16,0
"E00046998","E00046998",131,51,40,28,4,8
"E00046999","E00046999",120,58,34,19,6,3
"E00047000","E00047000",129,64,34,20,8,3
"E00047001","E00047001",127,61,21,35,9,1
"E00047002","E00047002",148,66,35,36,8,3
"E00047003","E00047003",130,65,42,19,3,1
"E00047004","E00047004",124,46,43,20,9,6
"E00047005","E00047005",123,1,18,94,10,0
"E00047006","E00047006",97,27,23,43,4,0
"E00047007","E00047007",114,41,37,23,11,2
"E00047009","E00047009",129,52,38,27,11,1
"E00047010","E00047010",127,20,34,63,9,1
"E00047011","E00047011",221,4,18,170,29,0
"E00047012","E00047012",114,20,37,42,13,2
"E00047013","E00047013",117,49,27,32,7,2
"E00047014","E00047014",106,45,16,37,5,3
"E00047015","E00047015",125,47,28,35,12,3
"E00047016","E00047016",97,45,26,17,8,1
"E00047017","E00047017",160,4,18,125,13,0
"E00047019","E00047019",159,32,39,80,7,1
"E00047020","E00047020",118,39,42,25,5,7
"E00047021","E00047021",125,15,53,47,10,0
"E00047022","E00047022",137,13,62,41,18,3
"E00047024","E00047024",97,26,33,27,9,2
"E00047025","E00047025",176,80,32,49,11,4
"E00047026","E00047026",139,38,16,67,15,3
"E00047027","E00047027",133,40,45,34,10,4
"E00047028","E00047028",125,22,48,42,11,2
"E00047030","E00047030",84,25,28,23,8,0
"E00047031","E00047031",106,45,30,24,5,2
"E00047032","E00047032",141,35,51,40,10,5
"E00047033","E00047033",133,20,32,53,24,4
"E00047034","E00047034",104,23,26,35,7,13
"E00047035","E00047035",141,63,28,36,12,2
"E00047036","E00047036",115,22,31,40,18,4
"E00047037","E00047037",107,34,38,25,5,5
"E00047038","E00047038",93,12,35,33,12,1
"E00047039","E00047039",130,20,42,51,14,3
"E00047040","E00047040",102,32,29,34,3,4
"E00047041","E00047041",138,46,24,60,6,2
"E00047042","E00047042",96,10,32,29,19,6
"E00047043","E00047043",167,41,57,53,13,3
"E00047044","E00047044",91,20,25,28,14,4
"E00047045","E00047045",100,26,25,40,7,2
"E00047047","E00047047",106,26,21,37,17,5
"E00047048","E00047048",123,44,42,28,6,3
"E00047049","E00047049",97,31,23,26,14,3
"E00047050","E00047050",126,27,49,33,15,2
"E00047051","E00047051",142,21,34,65,16,6
"E00047052","E00047052",114,34,33,30,14,3
"E00047053","E00047053",152,38,37,44,24,9
"E00047054","E00047054",130,21,32,47,23,7
"E00047055","E00047055",111,24,24,33,18,12
"E00047056","E00047056",125,30,45,39,7,4
"E00047057","E00047057",129,37,30,52,6,4
"E00047058","E00047058",108,39,34,31,3,1
"E00047059","E00047059",118,39,25,45,6,3
"E00047060","E00047060",91,31,29,25,4,2
"E00047061","E00047061",119,31,41,46,1,0
"E00047062","E00047062",142,68,47,23,4,0
"E00047063","E00047063",108,38,28,40,2,0
"E00047064","E00047064",125,53,43,25,4,0
"E00047065","E00047065",108,50,24,29,4,1
"E00047066","E00047066",108,56,25,19,6,2
"E00047067","E00047067",110,49,24,28,3,6
"E00047068","E00047068",123,20,37,59,2,5
"E00047069","E00047069",114,16,59,34,5,0
"E00047070","E00047070",132,49,55,25,2,1
"E00047071","E00047071",131,40,46,41,3,1
"E00047072","E00047072",109,74,20,15,0,0
"E00047073","E00047073",133,20,82,31,0,0
"E00047074","E00047074",131,49,47,32,1,2
"E00047075","E00047075",219,41,44,132,1,1
"E00047076","E00047076",140,56,36,45,2,1
"E00047077","E00047077",194,14,100,69,11,0
"E00047078","E00047078",123,32,49,32,8,2
"E00047079","E00047079",108,32,42,30,3,1
"E00047080","E00047080",86,34,27,24,1,0
"E00047081","E00047081",116,71,27,14,0,4
"E00047082","E00047082",149,43,57,41,5,3
"E00047083","E00047083",145,57,32,53,3,0
"E00047084","E00047084",95,26,33,32,4,0
"E00047085","E00047085",158,26,64,57,7,4
"E00047086","E00047086",143,47,60,29,6,1
"E00047087","E00047087",166,31,66,66,2,1
"E00047089","E00047089",119,13,20,68,16,2
"E00047090","E00047090",153,47,61,33,10,2
"E00047091","E00047091",146,44,55,37,8,2
"E00047092","E00047092",112,49,37,21,3,2
"E00047093","E00047093",124,43,50,25,3,3
"E00047094","E00047094",146,55,61,27,3,0
"E00047095","E00047095",138,31,60,39,8,0
"E00047096","E00047096",129,78,32,18,1,0
"E00047097","E00047097",161,31,52,73,4,1
"E00047098","E00047098",146,41,54,50,1,0
"E00047099","E00047099",117,42,43,27,4,1
"E00047100","E00047100",138,60,42,33,3,0
"E00047101","E00047101",138,16,48,71,3,0
"E00047102","E00047102",127,60,44,22,1,0
"E00047103","E00047103",190,39,65,85,1,0
"E00047104","E00047104",112,67,29,15,0,1
"E00047105","E00047105",103,57,15,30,1,0
"E00047107","E00047107",135,81,27,23,3,1
"E00047109","E00047109",117,50,21,41,4,1
"E00047110","E00047110",127,64,36,24,3,0
"E00047112","E00047112",111,54,30,23,1,3
"E00047113","E00047113",106,87,11,5,2,1
"E00047116","E00047116",102,26,32,42,2,0
"E00047117","E00047117",149,55,41,52,0,1
"E00047118","E00047118",112,30,30,40,8,4
"E00047119","E00047119",115,31,58,25,1,0
"E00047120","E00047120",131,37,52,30,9,3
"E00047121","E00047121",101,58,17,23,2,1
"E00047123","E00047123",117,36,40,37,3,1
"E00047124","E00047124",103,33,32,29,6,3
"E00047125","E00047125",82,33,16,28,3,2
"E00047126","E00047126",118,48,46,19,4,1
"E00047127","E00047127",145,57,55,30,3,0
"E00047128","E00047128",128,32,45,37,14,0
"E00047129","E00047129",114,30,35,46,3,0
"E00047130","E00047130",124,16,56,43,9,0
"E00047134","E00047134",106,35,47,20,4,0
"E00047136","E00047136",179,52,46,72,8,1
"E00047137","E00047137",130,29,33,54,11,3
"E00047138","E00047138",148,52,37,53,6,0
"E00047139","E00047139",110,27,33,36,14,0
"E00047140","E00047140",138,6,42,78,12,0
"E00047141","E00047141",143,15,43,76,9,0
"E00047142","E00047142",109,23,30,47,9,0
"E00047143","E00047143",127,71,33,22,0,1
"E00047144","E00047144",109,9,29,63,6,2
"E00047145","E00047145",161,26,64,56,12,3
"E00047146","E00047146",120,12,38,60,10,0
"E00047147","E00047147",103,30,28,32,12,1
"E00047148","E00047148",108,13,41,34,17,3
"E00047149","E00047149",112,21,33,47,9,2
"E00047150","E00047150",122,20,51,37,12,2
"E00047151","E00047151",118,29,36,43,10,0
"E00047152","E00047152",178,44,63,66,3,2
"E00047153","E00047153",119,21,30,47,18,3
"E00047154","E00047154",109,27,37,32,9,4
"E00047155","E00047155",99,13,37,36,11,2
"E00047156","E00047156",115,29,34,45,4,3
"E00047157","E00047157",117,26,36,41,9,5
"E00047158","E00047158",132,21,28,68,12,3
"E00047159","E00047159",122,28,41,40,10,3
"E00047160","E00047160",136,26,47,48,13,2
"E00047161","E00047161",116,15,35,55,8,3
"E00047162","E00047162",113,25,37,39,11,1
"E00047163","E00047163",119,15,40,49,9,6
"E00047164","E00047164",134,34,48,50,2,0
"E00047165","E00047165",130,23,48,45,12,2
"E00047166","E00047166",124,6,45,67,4,2
"E00047167","E00047167",112,13,26,57,13,3
"E00047168","E00047168",132,20,44,55,8,5
"E00047169","E00047169",142,0,42,85,11,4
"E00047170","E00047170",115,51,38,21,4,1
"E00047171","E00047171",111,29,34,43,5,0
"E00047172","E00047172",118,58,31,25,4,0
"E00047173","E00047173",119,17,45,48,9,0
"E00047174","E00047174",120,59,39,16,6,0
"E00047175","E00047175",107,35,29,34,7,2
"E00047176","E00047176",132,41,53,33,5,0
"E00047177","E00047177",125,19,49,44,11,2
"E00047178","E00047178",115,9,39,50,14,3
"E00047179","E00047179",111,2,30,62,16,1
"E00047180","E00047180",135,19,60,48,8,0
"E00047181","E00047181",138,17,56,51,12,2
"E00047182","E00047182",127,33,48,42,4,0
"E00047183","E00047183",145,42,43,52,8,0
"E00047184","E00047184",104,20,32,48,4,0
"E00047185","E00047185",151,27,90,32,2,0
"E00047186","E00047186",119,24,41,42,11,1
"E00047187","E00047187",127,23,43,50,10,1
"E00047188","E00047188",113,26,38,43,6,0
"E00047189","E00047189",137,20,37,65,15,0
"E00047190","E00047190",119,18,36,50,13,2
"E00047191","E00047191",121,10,32,58,19,2
"E00047192","E00047192",126,13,49,58,6,0
"E00047193","E00047193",139,26,32,61,20,0
"E00047194","E00047194",191,35,90,54,11,1
"E00047195","E00047195",130,8,32,79,9,2
"E00047196","E00047196",66,15,7,39,5,0
"E00047198","E00047198",126,27,43,44,11,1
"E00047199","E00047199",144,23,44,64,10,3
"E00047200","E00047200",100,13,37,40,7,3
"E00047201","E00047201",130,23,44,43,19,1
"E00047202","E00047202",116,36,30,37,12,1
"E00047203","E00047203",139,30,26,73,10,0
"E00047204","E00047204",99,14,43,35,6,1
"E00047205","E00047205",136,32,51,45,7,1
"E00047206","E00047206",123,20,31,53,15,4
"E00047208","E00047208",150,24,65,53,8,0
"E00047209","E00047209",130,42,33,47,6,2
"E00047210","E00047210",125,17,26,62,18,2
"E00047211","E00047211",148,30,69,40,7,2
"E00047212","E00047212",127,18,44,58,6,1
"E00047213","E00047213",163,35,64,60,4,0
"E00047214","E00047214",132,55,47,28,1,1
"E00047215","E00047215",125,49,48,22,4,2
"E00047216","E00047216",163,32,43,76,11,1
"E00047217","E00047217",120,34,33,44,8,1
"E00047218","E00047218",127,36,46,32,12,1
"E00047219","E00047219",119,29,39,36,12,3
"E00047220","E00047220",101,19,61,20,1,0
"E00047221","E00047221",119,16,77,21,5,0
"E00047222","E00047222",154,42,64,43,5,0
"E00047223","E00047223",130,51,48,26,4,1
"E00047224","E00047224",122,49,46,23,3,1
"E00047225","E00047225",131,68,26,35,2,0
"E00047227","E00047227",130,40,41,36,12,1
"E00047228","E00047228",139,72,46,18,3,0
"E00047229","E00047229",135,44,65,22,3,1
"E00047230","E00047230",124,3,40,61,19,1
"E00047231","E00047231",127,38,57,27,5,0
"E00047232","E00047232",129,57,47,20,4,1
"E00047233","E00047233",128,68,37,20,3,0
"E00047234","E00047234",210,22,50,133,5,0
"E00047235","E00047235",104,45,43,15,1,0
"E00047236","E00047236",116,39,50,23,2,2
"E00047237","E00047237",129,70,39,17,3,0
"E00047238","E00047238",124,34,63,21,4,2
"E00047239","E00047239",120,63,32,22,2,1
"E00047240","E00047240",124,56,42,18,8,0
"E00047241","E00047241",105,65,31,7,2,0
"E00047242","E00047242",170,27,75,61,6,1
"E00047243","E00047243",112,58,29,20,5,0
"E00047244","E00047244",118,8,31,66,10,3
"E00047245","E00047245",138,13,51,59,15,0
"E00047246","E00047246",144,26,52,49,11,6
"E00047247","E00047247",118,31,42,35,9,1
"E00047248","E00047248",112,36,31,24,15,6
"E00047249","E00047249",144,16,36,78,14,0
"E00047250","E00047250",133,19,35,59,18,2
"E00047251","E00047251",118,46,48,23,1,0
"E00047252","E00047252",202,27,31,119,24,1
"E00047253","E00047253",114,28,35,41,7,3
"E00047254","E00047254",114,42,43,27,0,2
"E00047255","E00047255",135,4,63,50,16,2
"E00047256","E00047256",129,35,41,44,9,0
"E00047257","E00047257",127,32,44,35,12,4
"E00047258","E00047258",124,62,48,13,1,0
"E00047259","E00047259",109,61,35,9,2,2
"E00047260","E00047260",117,61,35,17,2,2
"E00047261","E00047261",160,32,45,64,15,4
"E00047262","E00047262",152,10,43,85,12,2
"E00047263","E00047263",133,40,61,27,5,0
"E00047264","E00047264",130,71,34,23,2,0
"E00047265","E00047265",145,66,57,19,3,0
"E00047266","E00047266",110,30,35,34,11,0
"E00047267","E00047267",114,28,52,27,7,0
"E00047269","E00047269",115,66,25,16,6,2
"E00047270","E00047270",119,39,26,48,6,0
"E00047271","E00047271",120,48,43,29,0,0
"E00047272","E00047272",143,43,47,47,5,1
"E00047273","E00047273",154,49,70,32,3,0
"E00047274","E00047274",117,46,48,18,4,1
"E00047275","E00047275",124,53,42,24,4,1
"E00047276","E00047276",137,12,31,72,22,0
"E00047277","E00047277",123,36,61,23,3,0
"E00047278","E00047278",197,60,88,39,10,0
"E00047279","E00047279",129,43,44,34,3,5
"E00047280","E00047280",140,25,41,53,18,3
"E00047281","E00047281",116,14,31,62,9,0
"E00047282","E00047282",146,58,45,34,5,4
"E00047283","E00047283",111,56,31,19,3,2
"E00047284","E00047284",124,54,31,27,7,5
"E00047285","E00047285",131,28,64,34,5,0
"E00047286","E00047286",125,41,29,51,3,1
"E00047287","E00047287",125,36,44,38,5,2
"E00047288","E00047288",137,52,48,31,4,2
"E00047289","E00047289",111,11,23,36,33,8
"E00047292","E00047292",111,8,22,35,25,21
"E00047293","E00047293",90,21,16,27,13,13
"E00047294","E00047294",101,19,28,24,20,10
"E00047295","E00047295",110,11,29,35,21,14
"E00047296","E00047296",124,15,32,43,24,10
"E00047298","E00047298",147,35,27,45,27,13
"E00047299","E00047299",79,17,18,20,13,11
"E00047300","E00047300",152,29,32,54,21,16
"E00047301","E00047301",139,23,29,48,27,12
"E00047302","E00047302",162,28,28,69,28,9
"E00047303","E00047303",80,20,22,18,9,11
"E00047304","E00047304",110,28,19,32,14,17
"E00047305","E00047305",118,39,22,36,12,9
"E00047306","E00047306",134,20,34,50,20,10
"E00047307","E00047307",118,27,31,37,12,11
"E00047308","E00047308",138,18,33,51,29,7
"E00047309","E00047309",125,23,27,44,18,13
"E00047310","E00047310",117,21,18,43,24,11
"E00047311","E00047311",132,21,20,49,31,11
"E00047312","E00047312",165,39,32,68,18,8
"E00047313","E00047313",130,25,23,43,24,15
"E00047314","E00047314",131,25,30,49,17,10
"E00047315","E00047315",114,27,27,38,16,6
"E00047316","E00047316",121,27,14,41,26,13
"E00047317","E00047317",112,9,29,42,23,9
"E00047318","E00047318",148,16,34,51,33,14
"E00047319","E00047319",140,39,35,38,19,9
"E00047320","E00047320",114,24,24,22,19,25
"E00047321","E00047321",97,20,19,34,15,9
"E00047322","E00047322",97,21,30,26,12,8
"E00047323","E00047323",115,11,26,53,19,6
"E00047324","E00047324",96,6,26,38,19,7
"E00047325","E00047325",108,11,24,44,22,7
"E00047326","E00047326",152,10,49,61,24,8
"E00047327","E00047327",124,13,23,62,19,7
"E00047328","E00047328",144,29,38,46,24,7
"E00047329","E00047329",110,12,42,31,21,4
"E00047330","E00047330",145,13,43,53,29,7
"E00047332","E00047332",141,14,40,42,31,14
"E00047333","E00047333",166,19,60,45,23,19
"E00047334","E00047334",163,5,29,103,22,4
"E00047335","E00047335",100,21,20,34,18,7
"E00047336","E00047336",136,28,29,51,17,11
"E00047337","E00047337",126,15,24,48,27,12
"E00047338","E00047338",133,37,33,40,19,4
"E00047339","E00047339",123,26,36,40,13,8
"E00047340","E00047340",113,20,18,48,22,5
"E00047341","E00047341",106,10,32,31,20,13
"E00047342","E00047342",117,20,26,33,25,13
"E00047343","E00047343",104,12,27,32,19,14
"E00047344","E00047344",118,16,23,42,28,9
"E00047345","E00047345",121,16,23,41,23,18
"E00047346","E00047346",137,19,27,63,19,9
"E00047347","E00047347",118,14,23,69,8,4
"E00047348","E00047348",145,28,38,43,22,14
"E00047349","E00047349",147,25,23,54,31,14
