
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All households","Owned","Shared ownership (part owned and part rented)","Social rented","Private rented","Living rent free"
"E00045315","E00045315",138,44,1,81,10,2
"E00045317","E00045317",120,65,3,35,12,5
"E00045318","E00045318",121,48,0,62,8,3
"E00045320","E00045320",137,66,0,56,12,3
"E00045321","E00045321",128,38,0,80,10,0
"E00045322","E00045322",133,26,0,97,7,3
"E00045323","E00045323",114,12,0,87,4,11
"E00045324","E00045324",157,72,0,70,11,4
"E00045325","E00045325",122,36,1,75,10,0
"E00045326","E00045326",120,100,1,5,13,1
"E00045327","E00045327",97,86,0,2,9,0
"E00045328","E00045328",150,128,0,1,21,0
"E00045329","E00045329",121,67,0,42,10,2
"E00045330","E00045330",128,70,0,47,9,2
"E00045331","E00045331",132,78,0,45,7,2
"E00045332","E00045332",129,58,1,40,27,3
"E00045333","E00045333",146,70,11,48,17,0
"E00045334","E00045334",217,70,48,71,26,2
"E00045335","E00045335",116,61,1,46,5,3
"E00045336","E00045336",135,85,0,19,29,2
"E00045337","E00045337",132,42,7,60,20,3
"E00045338","E00045338",118,76,1,30,9,2
"E00045339","E00045339",110,55,0,37,16,2
"E00045340","E00045340",117,68,0,40,9,0
"E00045341","E00045341",116,72,0,34,8,2
"E00045342","E00045342",241,181,1,11,45,3
"E00045343","E00045343",121,85,0,11,24,1
"E00045344","E00045344",110,24,0,75,4,7
"E00045345","E00045345",144,80,3,43,12,6
"E00045346","E00045346",123,74,3,37,7,2
"E00045347","E00045347",132,72,14,23,22,1
"E00045348","E00045348",131,63,14,41,12,1
"E00045349","E00045349",125,118,0,1,5,1
"E00045350","E00045350",118,79,0,27,10,2
"E00045351","E00045351",141,87,1,30,21,2
"E00045352","E00045352",131,81,1,29,18,2
"E00045353","E00045353",125,89,4,11,20,1
"E00045354","E00045354",142,96,2,16,28,0
"E00045355","E00045355",120,74,0,35,11,0
"E00045356","E00045356",120,71,0,28,18,3
"E00045357","E00045357",127,68,0,41,15,3
"E00045358","E00045358",99,58,1,16,24,0
"E00045359","E00045359",146,101,0,31,13,1
"E00045360","E00045360",139,118,1,3,16,1
"E00045361","E00045361",112,97,3,2,10,0
"E00045362","E00045362",151,82,0,57,10,2
"E00045363","E00045363",123,87,1,22,10,3
"E00045364","E00045364",133,79,17,8,29,0
"E00045365","E00045365",119,107,0,3,8,1
"E00045366","E00045366",120,107,0,1,12,0
"E00045367","E00045367",107,47,0,52,8,0
"E00045368","E00045368",114,103,0,0,11,0
"E00045369","E00045369",134,128,0,1,5,0
"E00045370","E00045370",149,124,0,4,20,1
"E00045371","E00045371",148,138,0,1,9,0
"E00045372","E00045372",131,123,0,1,5,2
"E00045373","E00045373",136,124,0,4,6,2
"E00045374","E00045374",133,114,0,1,18,0
"E00045375","E00045375",140,91,0,40,9,0
"E00045376","E00045376",135,68,0,37,28,2
"E00045377","E00045377",135,112,1,2,20,0
"E00045378","E00045378",128,63,0,39,23,3
"E00045379","E00045379",137,92,1,29,14,1
"E00045380","E00045380",116,68,1,32,12,3
"E00045381","E00045381",140,68,1,45,23,3
"E00045382","E00045382",103,93,0,0,10,0
"E00045383","E00045383",141,81,1,40,18,1
"E00045384","E00045384",136,52,2,63,15,4
"E00045385","E00045385",142,48,0,79,9,6
"E00045386","E00045386",120,110,0,5,5,0
"E00045387","E00045387",114,102,0,1,10,1
"E00045388","E00045388",121,56,0,47,14,4
"E00045389","E00045389",144,0,0,135,1,8
"E00045390","E00045390",99,91,0,1,6,1
"E00045391","E00045391",129,106,0,11,10,2
"E00045392","E00045392",156,61,6,58,28,3
"E00045393","E00045393",120,44,0,53,18,5
"E00045394","E00045394",143,77,0,47,16,3
"E00045395","E00045395",117,62,0,34,21,0
"E00045396","E00045396",118,71,0,32,12,3
"E00045397","E00045397",125,73,0,35,16,1
"E00045398","E00045398",132,23,0,90,11,8
"E00045399","E00045399",123,69,1,37,13,3
"E00045400","E00045400",115,50,0,51,12,2
"E00045401","E00045401",110,60,0,38,11,1
"E00045402","E00045402",128,68,0,52,8,0
"E00045403","E00045403",120,90,1,12,14,3
"E00045404","E00045404",91,5,0,76,4,6
"E00045405","E00045405",97,51,0,35,11,0
"E00045406","E00045406",123,88,0,26,8,1
"E00045407","E00045407",120,81,1,27,9,2
"E00045408","E00045408",110,50,0,47,9,4
"E00045409","E00045409",117,51,0,29,32,5
"E00045410","E00045410",107,55,1,39,7,5
"E00045411","E00045411",116,85,0,23,8,0
"E00045412","E00045412",120,66,0,36,15,3
"E00045413","E00045413",108,16,0,84,1,7
"E00045414","E00045414",100,74,0,17,5,4
"E00045415","E00045415",131,88,3,4,34,2
"E00045416","E00045416",112,91,0,2,19,0
"E00045417","E00045417",114,82,0,18,12,2
"E00045418","E00045418",105,48,1,49,7,0
"E00045419","E00045419",138,8,0,113,15,2
"E00045420","E00045420",172,103,10,6,53,0
"E00045421","E00045421",145,105,2,20,18,0
"E00045422","E00045422",121,92,1,6,22,0
"E00045423","E00045423",128,108,1,1,17,1
"E00045424","E00045424",124,101,1,14,8,0
"E00045425","E00045425",107,55,0,41,11,0
"E00045426","E00045426",121,57,1,50,11,2
"E00045427","E00045427",133,93,9,15,15,1
"E00045428","E00045428",133,94,0,10,28,1
"E00045429","E00045429",124,104,0,1,19,0
"E00045430","E00045430",127,25,0,91,11,0
"E00045431","E00045431",129,101,0,16,10,2
"E00045432","E00045432",127,22,0,96,7,2
"E00045433","E00045433",121,75,36,5,5,0
"E00045434","E00045434",112,25,0,47,37,3
"E00045435","E00045435",138,2,0,127,7,2
"E00045436","E00045436",128,74,13,38,3,0
"E00045437","E00045437",135,65,4,58,5,3
"E00045438","E00045438",148,119,10,3,13,3
"E00045439","E00045439",125,99,0,4,22,0
"E00045440","E00045440",108,34,23,39,12,0
"E00045441","E00045441",123,87,0,24,12,0
"E00045442","E00045442",124,98,0,12,12,2
"E00045443","E00045443",154,111,0,4,38,1
"E00045444","E00045444",132,92,0,8,32,0
"E00045445","E00045445",167,79,14,24,50,0
"E00045446","E00045446",117,71,0,41,5,0
"E00045447","E00045447",148,74,0,23,50,1
"E00045448","E00045448",166,61,8,10,85,2
"E00045449","E00045449",127,95,0,3,29,0
"E00045450","E00045450",144,75,0,4,64,1
"E00045451","E00045451",147,95,1,6,45,0
"E00045452","E00045452",148,69,2,59,16,2
"E00045453","E00045453",135,80,2,25,26,2
"E00045454","E00045454",157,97,0,37,20,3
"E00045455","E00045455",112,10,0,98,3,1
"E00045456","E00045456",132,47,0,77,7,1
"E00045457","E00045457",159,20,1,116,17,5
"E00045458","E00045458",123,99,0,9,14,1
"E00045459","E00045459",133,90,1,28,13,1
"E00045460","E00045460",126,87,1,21,15,2
"E00045461","E00045461",119,85,0,22,11,1
"E00045462","E00045462",129,76,3,30,19,1
"E00045463","E00045463",125,83,0,27,13,2
"E00045464","E00045464",108,67,0,8,31,2
"E00045465","E00045465",98,74,0,16,7,1
"E00045466","E00045466",103,86,1,3,12,1
"E00045467","E00045467",113,76,0,23,13,1
"E00045468","E00045468",116,94,0,2,20,0
"E00045469","E00045469",147,72,1,12,56,6
"E00045470","E00045470",142,102,0,2,37,1
"E00045471","E00045471",139,128,0,3,7,1
"E00045472","E00045472",130,38,1,82,8,1
"E00045473","E00045473",133,91,0,3,39,0
"E00045474","E00045474",119,60,0,47,10,2
"E00045475","E00045475",99,66,4,7,21,1
"E00045476","E00045476",131,54,0,71,6,0
"E00045477","E00045477",100,31,0,55,14,0
"E00045478","E00045478",125,73,1,13,36,2
"E00045479","E00045479",124,114,0,7,2,1
"E00045480","E00045480",131,114,0,3,13,1
"E00045481","E00045481",130,82,0,8,38,2
"E00045482","E00045482",106,47,0,52,7,0
"E00045483","E00045483",140,110,1,5,23,1
"E00045484","E00045484",130,109,2,2,17,0
"E00045485","E00045485",136,2,0,126,7,1
"E00045486","E00045486",130,88,3,6,31,2
"E00045487","E00045487",121,44,0,69,6,2
"E00045488","E00045488",128,56,0,48,23,1
"E00045489","E00045489",100,14,0,79,6,1
"E00045490","E00045490",97,72,0,20,5,0
"E00045491","E00045491",125,56,0,39,29,1
"E00045492","E00045492",129,27,1,12,87,2
"E00045493","E00045493",133,107,0,12,14,0
"E00045494","E00045494",116,90,1,1,24,0
"E00045495","E00045495",106,43,0,57,4,2
"E00045496","E00045496",131,69,0,49,12,1
"E00045497","E00045497",101,84,0,8,6,3
"E00045498","E00045498",127,117,0,1,9,0
"E00045499","E00045499",119,82,2,23,7,5
"E00045500","E00045500",151,87,1,38,24,1
"E00045501","E00045501",132,69,2,47,13,1
"E00045502","E00045502",127,57,0,53,11,6
"E00045503","E00045503",132,63,0,60,8,1
"E00045504","E00045504",140,68,0,66,3,3
"E00045505","E00045505",134,53,0,69,7,5
"E00045506","E00045506",152,98,0,36,13,5
"E00045507","E00045507",130,73,0,49,6,2
"E00045508","E00045508",127,79,1,30,14,3
"E00045509","E00045509",144,10,2,127,1,4
"E00045510","E00045510",46,13,0,28,3,2
"E00045511","E00045511",125,53,1,68,1,2
"E00045512","E00045512",138,48,1,73,7,9
"E00045513","E00045513",140,4,0,131,2,3
"E00045514","E00045514",136,12,0,113,3,8
"E00045515","E00045515",136,34,1,87,5,9
"E00045516","E00045516",142,54,0,78,6,4
"E00045517","E00045517",142,28,0,100,6,8
"E00045518","E00045518",139,37,0,93,9,0
"E00045519","E00045519",122,36,1,79,4,2
"E00045520","E00045520",117,93,0,7,17,0
"E00045521","E00045521",126,74,0,34,13,5
"E00045522","E00045522",123,99,0,8,13,3
"E00045523","E00045523",123,109,0,3,10,1
"E00045524","E00045524",108,104,0,2,1,1
"E00045525","E00045525",144,66,1,46,29,2
"E00045526","E00045526",179,158,0,7,12,2
"E00045527","E00045527",133,64,2,50,17,0
"E00045528","E00045528",135,74,0,29,31,1
"E00045529","E00045529",113,105,0,0,8,0
"E00045530","E00045530",126,70,1,27,21,7
"E00045531","E00045531",122,97,0,12,12,1
"E00045532","E00045532",120,42,0,66,11,1
"E00045533","E00045533",108,20,5,73,9,1
"E00045534","E00045534",121,47,1,56,17,0
"E00045535","E00045535",126,117,0,1,7,1
"E00045536","E00045536",133,99,0,26,7,1
"E00045537","E00045537",143,117,0,2,24,0
"E00045538","E00045538",155,62,0,72,17,4
"E00045539","E00045539",112,84,0,16,9,3
"E00045540","E00045540",114,89,1,5,19,0
"E00045541","E00045541",125,103,1,0,21,0
"E00045542","E00045542",142,100,1,7,30,4
"E00045543","E00045543",126,99,1,12,12,2
"E00045544","E00045544",137,85,1,36,12,3
"E00045545","E00045545",125,57,2,50,9,7
"E00045546","E00045546",101,85,0,3,13,0
"E00045547","E00045547",151,128,0,1,22,0
"E00045548","E00045548",131,117,1,4,9,0
"E00045549","E00045549",168,107,8,36,12,5
"E00045550","E00045550",106,73,0,20,11,2
"E00045551","E00045551",130,111,1,2,16,0
"E00045552","E00045552",100,86,0,6,5,3
"E00045553","E00045553",138,61,2,52,20,3
"E00045554","E00045554",173,41,20,92,13,7
"E00045555","E00045555",142,126,0,3,12,1
"E00045556","E00045556",114,49,1,50,14,0
"E00045557","E00045557",130,73,1,37,17,2
"E00045558","E00045558",116,71,2,23,18,2
"E00045559","E00045559",150,33,42,59,16,0
"E00045560","E00045560",119,84,2,15,18,0
"E00045561","E00045561",104,83,1,2,18,0
"E00045562","E00045562",193,105,27,49,12,0
"E00045563","E00045563",112,104,0,2,6,0
"E00045564","E00045564",122,85,1,20,15,1
"E00045566","E00045566",183,69,47,53,11,3
"E00045568","E00045568",129,111,0,2,16,0
"E00045569","E00045569",107,45,0,44,14,4
"E00045570","E00045570",130,117,1,0,12,0
"E00045571","E00045571",95,85,0,2,8,0
"E00045572","E00045572",134,113,0,11,9,1
"E00045573","E00045573",130,114,2,5,9,0
"E00045574","E00045574",137,120,0,5,10,2
"E00045575","E00045575",123,114,0,0,8,1
"E00045576","E00045576",156,94,0,36,25,1
"E00045577","E00045577",105,93,0,3,5,4
"E00045578","E00045578",149,73,6,46,20,4
"E00045579","E00045579",126,51,0,65,7,3
"E00045580","E00045580",125,76,0,22,25,2
"E00045581","E00045581",119,14,0,94,4,7
"E00045582","E00045582",117,57,0,55,4,1
"E00045583","E00045583",129,23,1,87,15,3
"E00045584","E00045584",121,99,0,2,17,3
"E00045585","E00045585",135,99,0,5,31,0
"E00045586","E00045586",40,23,0,12,5,0
"E00045587","E00045587",111,77,0,3,20,11
"E00045588","E00045588",99,39,4,13,43,0
"E00045589","E00045589",123,88,1,4,29,1
"E00045590","E00045590",175,102,0,2,62,9
"E00045592","E00045592",165,112,0,7,46,0
"E00045593","E00045593",137,39,0,34,62,2
"E00045594","E00045594",164,30,4,68,54,8
"E00045595","E00045595",159,72,0,2,85,0
"E00045596","E00045596",161,49,3,11,97,1
"E00045597","E00045597",178,56,0,14,100,8
"E00045598","E00045598",217,4,1,117,93,2
"E00045599","E00045599",160,35,0,2,122,1
"E00045600","E00045600",139,32,0,27,79,1
"E00045601","E00045601",152,31,1,59,60,1
"E00045602","E00045602",182,28,0,44,109,1
"E00045603","E00045603",206,50,3,13,140,0
"E00045604","E00045604",136,52,1,9,66,8
"E00045605","E00045605",165,62,0,56,44,3
"E00045606","E00045606",141,69,0,3,65,4
"E00045607","E00045607",121,31,1,30,56,3
"E00045608","E00045608",119,44,0,23,49,3
"E00045609","E00045609",112,80,0,2,26,4
"E00045610","E00045610",156,53,2,30,64,7
"E00045611","E00045611",129,40,0,56,29,4
"E00045612","E00045612",127,69,0,3,52,3
"E00045613","E00045613",118,104,0,2,11,1
"E00045614","E00045614",147,120,0,4,21,2
"E00045615","E00045615",107,82,0,3,22,0
"E00045616","E00045616",121,96,1,1,22,1
"E00045618","E00045618",59,9,0,46,2,2
"E00045620","E00045620",108,56,0,26,26,0
"E00045621","E00045621",117,83,0,3,29,2
"E00045622","E00045622",119,73,1,2,33,10
"E00045623","E00045623",72,12,8,41,9,2
"E00045624","E00045624",109,70,0,1,38,0
"E00045625","E00045625",120,22,0,82,13,3
"E00045627","E00045627",114,104,0,1,7,2
"E00045628","E00045628",112,54,1,1,50,6
"E00045629","E00045629",110,57,0,1,49,3
"E00045630","E00045630",157,53,8,81,13,2
"E00045631","E00045631",108,13,0,78,12,5
"E00045632","E00045632",128,52,0,47,28,1
"E00045633","E00045633",118,20,0,82,10,6
"E00045635","E00045635",106,26,0,72,6,2
"E00045636","E00045636",129,66,0,27,31,5
"E00045637","E00045637",95,62,0,29,3,1
"E00045638","E00045638",115,5,0,101,7,2
"E00045639","E00045639",124,40,0,48,31,5
"E00045640","E00045640",113,37,1,50,14,11
"E00045641","E00045641",144,93,0,4,43,4
"E00045643","E00045643",119,65,0,7,46,1
"E00045644","E00045644",114,38,0,42,33,1
"E00045645","E00045645",124,89,1,2,28,4
"E00045646","E00045646",130,81,0,11,36,2
"E00045647","E00045647",174,35,0,92,42,5
"E00045648","E00045648",240,130,0,3,92,15
"E00045649","E00045649",117,15,0,46,52,4
"E00045651","E00045651",148,64,0,46,37,1
"E00045652","E00045652",110,12,0,81,14,3
"E00045653","E00045653",127,11,0,94,20,2
"E00045654","E00045654",120,11,0,95,6,8
"E00045655","E00045655",115,47,0,4,61,3
"E00045656","E00045656",229,106,0,9,109,5
"E00045658","E00045658",184,19,0,61,104,0
"E00045659","E00045659",144,9,2,47,84,2
"E00045660","E00045660",99,27,2,7,63,0
"E00045661","E00045661",108,29,0,15,64,0
"E00045662","E00045662",130,58,1,39,30,2
"E00045663","E00045663",164,112,1,6,44,1
"E00045664","E00045664",146,101,0,17,25,3
"E00045665","E00045665",159,62,5,70,18,4
"E00045666","E00045666",126,56,1,43,23,3
"E00045667","E00045667",233,88,22,53,65,5
"E00045668","E00045668",218,107,3,37,68,3
"E00045669","E00045669",207,46,1,33,125,2
"E00045670","E00045670",144,72,0,49,21,2
"E00045671","E00045671",131,57,1,52,18,3
"E00045672","E00045672",133,97,0,7,28,1
"E00045673","E00045673",126,26,1,63,36,0
"E00045674","E00045674",133,73,1,46,13,0
"E00045675","E00045675",108,104,0,1,3,0
"E00045676","E00045676",130,122,1,1,6,0
"E00045677","E00045677",122,74,1,13,32,2
"E00045678","E00045678",131,98,1,3,29,0
"E00045679","E00045679",119,87,0,1,31,0
"E00045680","E00045680",158,76,0,65,15,2
"E00045681","E00045681",152,52,0,8,90,2
"E00045682","E00045682",112,52,1,8,50,1
"E00045683","E00045683",118,101,0,5,11,1
"E00045684","E00045684",108,42,0,55,6,5
"E00045685","E00045685",115,105,0,1,9,0
"E00045686","E00045686",129,43,0,62,22,2
"E00045687","E00045687",123,51,0,7,64,1
"E00045688","E00045688",111,83,0,5,23,0
"E00045689","E00045689",118,111,1,3,3,0
"E00045690","E00045690",194,139,1,23,30,1
"E00045691","E00045691",119,103,0,1,15,0
"E00045692","E00045692",94,44,0,38,12,0
"E00045693","E00045693",115,102,3,2,7,1
"E00045694","E00045694",126,85,0,3,37,1
"E00045695","E00045695",129,91,0,7,29,2
