
"QS303EW - Long-term health problem or disability"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All categories: Long-term health problem or disability","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"
"E00046556","E00046556",514,82,44,388
"E00046557","E00046557",274,33,15,226
"E00046558","E00046558",230,27,32,171
"E00046559","E00046559",422,71,40,311
"E00046560","E00046560",183,22,27,134
"E00046561","E00046561",297,18,25,254
"E00046562","E00046562",439,18,27,394
"E00046563","E00046563",197,29,22,146
"E00046564","E00046564",277,13,23,241
"E00046565","E00046565",515,26,30,459
"E00046566","E00046566",248,14,16,218
"E00046567","E00046567",242,13,7,222
"E00046568","E00046568",236,45,32,159
"E00046569","E00046569",241,7,15,219
"E00046570","E00046570",330,27,30,273
"E00046571","E00046571",353,28,25,300
"E00046572","E00046572",381,26,33,322
"E00046573","E00046573",194,31,16,147
"E00046574","E00046574",332,18,28,286
"E00046575","E00046575",524,17,33,474
"E00046576","E00046576",313,58,35,220
"E00046577","E00046577",212,46,37,129
"E00046578","E00046578",178,12,25,141
"E00046579","E00046579",285,20,21,244
"E00046580","E00046580",337,28,27,282
"E00046581","E00046581",343,16,31,296
"E00046582","E00046582",339,19,32,288
"E00046583","E00046583",353,17,28,308
"E00046584","E00046584",353,25,47,281
"E00046585","E00046585",369,27,36,306
"E00046586","E00046586",388,49,34,305
"E00046587","E00046587",255,13,10,232
"E00046588","E00046588",284,41,24,219
"E00046589","E00046589",318,15,19,284
"E00046590","E00046590",295,18,21,256
"E00046591","E00046591",313,29,38,246
"E00046592","E00046592",317,21,23,273
"E00046593","E00046593",267,33,45,189
"E00046594","E00046594",314,24,25,265
"E00046595","E00046595",288,23,21,244
"E00046596","E00046596",365,21,24,320
"E00046597","E00046597",309,14,23,272
"E00046598","E00046598",294,19,24,251
"E00046599","E00046599",282,30,25,227
"E00046600","E00046600",272,25,14,233
"E00046601","E00046601",259,9,17,233
"E00046602","E00046602",348,30,42,276
"E00046603","E00046603",245,11,13,221
"E00046604","E00046604",426,25,21,380
"E00046605","E00046605",345,28,40,277
"E00046606","E00046606",330,26,16,288
"E00046607","E00046607",332,34,35,263
"E00046608","E00046608",557,25,32,500
"E00046609","E00046609",485,30,32,423
"E00046610","E00046610",344,38,29,277
"E00046611","E00046611",514,59,39,416
"E00046612","E00046612",271,19,11,241
"E00046613","E00046613",353,21,19,313
"E00046614","E00046614",518,43,33,442
"E00046615","E00046615",446,41,28,377
"E00046616","E00046616",481,45,39,397
"E00046617","E00046617",390,36,39,315
"E00046618","E00046618",369,43,36,290
"E00046619","E00046619",409,43,32,334
"E00046620","E00046620",575,44,47,484
"E00046621","E00046621",396,47,32,317
"E00046622","E00046622",325,44,52,229
"E00046624","E00046624",444,41,44,359
"E00046625","E00046625",514,48,48,418
"E00046626","E00046626",379,40,26,313
"E00046627","E00046627",395,23,23,349
"E00046628","E00046628",362,28,32,302
"E00046630","E00046630",413,64,45,304
"E00046631","E00046631",347,44,31,272
"E00046633","E00046633",373,25,31,317
"E00046634","E00046634",575,48,38,489
"E00046635","E00046635",373,36,14,323
"E00046636","E00046636",350,30,36,284
"E00046637","E00046637",300,26,24,250
"E00046638","E00046638",298,47,38,213
"E00046639","E00046639",436,33,35,368
"E00046640","E00046640",307,16,26,265
"E00046641","E00046641",522,39,24,459
"E00046642","E00046642",467,51,47,369
"E00046643","E00046643",459,26,42,391
"E00046644","E00046644",374,33,39,302
"E00046645","E00046645",337,33,30,274
"E00046646","E00046646",569,40,33,496
"E00046647","E00046647",355,24,34,297
"E00046648","E00046648",530,28,31,471
"E00046649","E00046649",532,35,50,447
"E00046650","E00046650",513,32,38,443
"E00046651","E00046651",420,21,33,366
"E00046652","E00046652",436,30,32,374
"E00046653","E00046653",408,20,20,368
"E00046654","E00046654",401,42,43,316
"E00046655","E00046655",411,29,34,348
"E00046656","E00046656",526,15,38,473
"E00046657","E00046657",432,23,28,381
"E00046659","E00046659",288,33,16,239
"E00046660","E00046660",397,21,31,345
"E00046661","E00046661",533,52,35,446
"E00046662","E00046662",533,22,30,481
"E00046663","E00046663",360,43,35,282
"E00046664","E00046664",285,34,30,221
"E00046665","E00046665",295,33,29,233
"E00046666","E00046666",284,42,26,216
"E00046667","E00046667",330,36,40,254
"E00046668","E00046668",244,40,25,179
"E00046669","E00046669",414,51,48,315
"E00046670","E00046670",403,25,24,354
"E00046671","E00046671",359,24,36,299
"E00046672","E00046672",397,39,39,319
"E00046673","E00046673",306,28,31,247
"E00046674","E00046674",261,23,18,220
"E00046675","E00046675",244,28,23,193
"E00046676","E00046676",487,33,40,414
"E00046677","E00046677",278,14,32,232
"E00046678","E00046678",332,23,25,284
"E00046679","E00046679",362,18,37,307
"E00046680","E00046680",241,25,32,184
"E00046681","E00046681",291,15,22,254
"E00046682","E00046682",268,37,40,191
"E00046683","E00046683",280,22,33,225
"E00046684","E00046684",296,14,25,257
"E00046685","E00046685",260,26,24,210
"E00046686","E00046686",292,18,15,259
"E00046687","E00046687",340,37,42,261
"E00046688","E00046688",332,31,27,274
"E00046689","E00046689",252,29,29,194
"E00046690","E00046690",262,17,29,216
"E00046691","E00046691",285,7,25,253
"E00046692","E00046692",295,23,26,246
"E00046693","E00046693",348,34,42,272
"E00046694","E00046694",277,41,32,204
"E00046695","E00046695",371,23,36,312
"E00046696","E00046696",338,53,45,240
"E00046697","E00046697",337,25,33,279
"E00046698","E00046698",314,30,30,254
"E00046699","E00046699",261,42,28,191
"E00046700","E00046700",293,35,41,217
"E00046701","E00046701",133,36,29,68
"E00046702","E00046702",310,24,34,252
"E00046703","E00046703",264,54,58,152
"E00046704","E00046704",239,39,25,175
"E00046705","E00046705",264,42,31,191
"E00046706","E00046706",339,33,32,274
"E00046707","E00046707",252,48,28,176
"E00046708","E00046708",212,24,29,159
"E00046709","E00046709",309,26,29,254
"E00046710","E00046710",280,39,45,196
"E00046711","E00046711",268,49,37,182
"E00046712","E00046712",321,35,48,238
"E00046713","E00046713",227,23,29,175
"E00046714","E00046714",252,43,25,184
"E00046715","E00046715",299,40,32,227
"E00046716","E00046716",277,27,32,218
"E00046717","E00046717",285,40,29,216
"E00046718","E00046718",173,31,25,117
"E00046719","E00046719",365,21,30,314
"E00046720","E00046720",534,34,45,455
"E00046721","E00046721",495,38,49,408
"E00046722","E00046722",345,27,35,283
"E00046723","E00046723",324,19,28,277
"E00046724","E00046724",304,19,34,251
"E00046725","E00046725",349,39,38,272
"E00046726","E00046726",305,22,38,245
"E00046727","E00046727",273,13,22,238
"E00046728","E00046728",238,22,36,180
"E00046729","E00046729",267,18,27,222
"E00046730","E00046730",376,25,33,318
"E00046731","E00046731",320,18,28,274
"E00046732","E00046732",291,80,59,152
"E00046733","E00046733",347,17,33,297
"E00046734","E00046734",287,19,26,242
"E00046735","E00046735",308,26,27,255
"E00046736","E00046736",331,30,31,270
"E00046737","E00046737",258,17,23,218
"E00046738","E00046738",333,19,33,281
"E00046739","E00046739",327,29,32,266
"E00046740","E00046740",327,30,34,263
"E00046741","E00046741",205,25,30,150
"E00046742","E00046742",341,13,31,297
"E00046743","E00046743",322,19,32,271
"E00046744","E00046744",310,11,24,275
"E00046745","E00046745",349,17,40,292
"E00046746","E00046746",330,29,31,270
"E00046747","E00046747",300,37,33,230
"E00046748","E00046748",330,19,41,270
"E00046749","E00046749",330,20,38,272
"E00046750","E00046750",334,23,25,286
"E00046751","E00046751",350,11,19,320
"E00046752","E00046752",284,16,33,235
"E00046753","E00046753",330,22,38,270
"E00046754","E00046754",330,22,29,279
"E00046755","E00046755",544,38,49,457
"E00046756","E00046756",336,17,30,289
"E00046757","E00046757",413,30,32,351
"E00046758","E00046758",275,19,27,229
"E00046759","E00046759",327,41,33,253
"E00046760","E00046760",337,23,47,267
"E00046761","E00046761",289,17,30,242
"E00046762","E00046762",332,33,35,264
"E00046763","E00046763",398,36,37,325
"E00046764","E00046764",307,28,25,254
"E00046765","E00046765",340,32,41,267
"E00046766","E00046766",303,25,25,253
"E00046767","E00046767",288,33,29,226
"E00046768","E00046768",210,47,29,134
"E00046769","E00046769",309,25,19,265
"E00046770","E00046770",283,25,37,221
"E00046771","E00046771",283,20,26,237
"E00046772","E00046772",347,17,33,297
"E00046773","E00046773",218,32,39,147
"E00046774","E00046774",313,26,32,255
"E00046775","E00046775",347,24,26,297
"E00046776","E00046776",352,25,52,275
"E00046777","E00046777",399,29,33,337
"E00046778","E00046778",328,35,36,257
"E00046779","E00046779",313,27,38,248
"E00046780","E00046780",356,36,45,275
"E00046781","E00046781",327,17,31,279
"E00046782","E00046782",245,37,27,181
"E00046783","E00046783",308,16,24,268
"E00046784","E00046784",361,97,36,228
"E00046785","E00046785",346,32,29,285
"E00046786","E00046786",301,23,26,252
"E00046787","E00046787",335,31,20,284
"E00046788","E00046788",272,30,23,219
"E00046789","E00046789",289,29,31,229
"E00046790","E00046790",342,31,28,283
"E00046791","E00046791",280,33,29,218
"E00046792","E00046792",343,29,34,280
"E00046793","E00046793",272,27,39,206
"E00046794","E00046794",268,27,20,221
"E00046795","E00046795",288,36,29,223
"E00046796","E00046796",336,37,22,277
"E00046797","E00046797",322,18,22,282
"E00046798","E00046798",342,26,24,292
"E00046799","E00046799",309,43,32,234
"E00046800","E00046800",306,45,27,234
"E00046801","E00046801",280,32,33,215
"E00046802","E00046802",277,44,21,212
"E00046803","E00046803",386,31,34,321
"E00046804","E00046804",262,23,23,216
"E00046805","E00046805",317,19,30,268
"E00046806","E00046806",335,22,22,291
"E00046807","E00046807",270,37,39,194
"E00046808","E00046808",286,17,16,253
"E00046809","E00046809",260,26,29,205
"E00046810","E00046810",270,49,30,191
"E00046811","E00046811",276,33,41,202
"E00046812","E00046812",238,32,27,179
"E00046813","E00046813",291,27,37,227
"E00046814","E00046814",372,50,44,278
"E00046815","E00046815",339,53,48,238
"E00046816","E00046816",318,43,44,231
"E00046817","E00046817",313,46,35,232
"E00046818","E00046818",325,18,25,282
"E00046819","E00046819",252,17,30,205
"E00046820","E00046820",347,32,31,284
"E00046821","E00046821",263,28,31,204
"E00046822","E00046822",246,51,43,152
"E00046823","E00046823",244,22,39,183
"E00046824","E00046824",272,34,34,204
"E00046825","E00046825",269,27,26,216
"E00046826","E00046826",291,15,36,240
"E00046827","E00046827",275,25,22,228
"E00046828","E00046828",334,30,39,265
"E00046829","E00046829",349,30,22,297
"E00046830","E00046830",362,19,25,318
"E00046831","E00046831",354,23,24,307
"E00046832","E00046832",338,35,31,272
"E00046833","E00046833",286,18,19,249
"E00046834","E00046834",330,25,26,279
"E00046835","E00046835",300,43,31,226
"E00046836","E00046836",321,48,29,244
"E00046837","E00046837",307,23,26,258
"E00046838","E00046838",341,28,48,265
"E00046839","E00046839",105,35,24,46
"E00046840","E00046840",331,25,17,289
"E00046841","E00046841",267,30,29,208
"E00046842","E00046842",362,29,34,299
"E00046843","E00046843",302,23,17,262
"E00046844","E00046844",381,29,24,328
"E00046845","E00046845",260,31,33,196
"E00046846","E00046846",361,18,33,310
"E00046847","E00046847",298,7,25,266
"E00046848","E00046848",198,41,29,128
"E00046849","E00046849",289,16,23,250
"E00046850","E00046850",284,47,42,195
"E00046851","E00046851",316,20,20,276
"E00046852","E00046852",277,35,25,217
"E00046853","E00046853",377,26,54,297
"E00046854","E00046854",315,12,34,269
"E00046855","E00046855",311,34,27,250
"E00046856","E00046856",370,17,19,334
"E00046857","E00046857",335,25,28,282
"E00046858","E00046858",324,15,19,290
"E00046859","E00046859",336,25,34,277
"E00046860","E00046860",333,20,17,296
"E00046861","E00046861",323,25,25,273
"E00046862","E00046862",287,22,35,230
"E00046863","E00046863",298,22,25,251
"E00046864","E00046864",329,21,30,278
"E00046865","E00046865",380,20,40,320
"E00046866","E00046866",343,23,28,292
"E00046867","E00046867",265,21,23,221
"E00046868","E00046868",281,26,22,233
"E00046869","E00046869",370,21,38,311
"E00046870","E00046870",359,30,27,302
"E00046871","E00046871",316,13,26,277
"E00046873","E00046873",408,37,34,337
"E00046874","E00046874",427,21,31,375
"E00046875","E00046875",320,34,45,241
"E00046876","E00046876",302,22,32,248
"E00046877","E00046877",285,14,22,249
"E00046878","E00046878",323,20,38,265
"E00046879","E00046879",299,26,22,251
"E00046880","E00046880",232,11,20,201
"E00046881","E00046881",345,29,34,282
"E00046882","E00046882",329,10,40,279
"E00046883","E00046883",301,24,38,239
"E00046884","E00046884",342,18,21,303
"E00046885","E00046885",354,31,34,289
"E00046886","E00046886",378,15,20,343
"E00046887","E00046887",312,24,39,249
"E00046888","E00046888",268,15,22,231
"E00046889","E00046889",317,20,35,262
"E00046890","E00046890",289,31,42,216
"E00046891","E00046891",350,19,26,305
"E00046892","E00046892",310,29,34,247
"E00046893","E00046893",289,30,32,227
"E00046894","E00046894",242,27,19,196
"E00046895","E00046895",273,18,25,230
"E00046896","E00046896",319,17,29,273
"E00046897","E00046897",326,32,27,267
"E00046898","E00046898",298,24,27,247
"E00046899","E00046899",318,21,26,271
"E00046900","E00046900",270,11,31,228
"E00046901","E00046901",332,28,26,278
"E00046902","E00046902",315,15,36,264
"E00046903","E00046903",381,35,44,302
"E00046904","E00046904",366,25,29,312
"E00046905","E00046905",334,32,38,264
"E00046906","E00046906",315,30,23,262
"E00046907","E00046907",290,29,33,228
"E00046908","E00046908",300,32,26,242
"E00046909","E00046909",264,13,34,217
"E00046910","E00046910",337,20,40,277
"E00046911","E00046911",397,22,34,341
"E00046912","E00046912",339,37,27,275
"E00046913","E00046913",290,17,28,245
"E00046914","E00046914",243,35,30,178
"E00046915","E00046915",329,16,32,281
"E00046916","E00046916",300,18,31,251
"E00046917","E00046917",299,21,24,254
"E00046918","E00046918",353,22,47,284
"E00046919","E00046919",263,7,13,243
"E00046920","E00046920",242,28,29,185
"E00046921","E00046921",311,17,24,270
"E00046922","E00046922",328,22,28,278
"E00046923","E00046923",347,23,37,287
"E00046924","E00046924",306,15,32,259
"E00046925","E00046925",333,30,29,274
"E00046926","E00046926",226,11,15,200
"E00046927","E00046927",314,24,28,262
"E00046928","E00046928",329,25,29,275
"E00046929","E00046929",314,21,36,257
"E00046930","E00046930",324,35,28,261
"E00046931","E00046931",312,29,32,251
"E00046932","E00046932",264,29,17,218
"E00046933","E00046933",152,22,21,109
"E00046934","E00046934",290,22,38,230
"E00046935","E00046935",324,28,31,265
"E00046936","E00046936",344,22,27,295
"E00046937","E00046937",303,14,29,260
"E00046938","E00046938",332,24,35,273
"E00046939","E00046939",286,24,22,240
"E00046940","E00046940",312,27,42,243
"E00046941","E00046941",357,34,29,294
"E00046942","E00046942",300,34,28,238
"E00046943","E00046943",280,29,32,219
"E00046944","E00046944",290,18,33,239
"E00046945","E00046945",281,24,33,224
"E00046946","E00046946",329,35,33,261
"E00046947","E00046947",320,34,23,263
"E00046948","E00046948",315,35,31,249
"E00046949","E00046949",290,36,27,227
"E00046950","E00046950",310,38,40,232
"E00046951","E00046951",264,43,28,193
"E00046952","E00046952",344,34,23,287
"E00046953","E00046953",305,22,33,250
"E00046954","E00046954",307,22,21,264
"E00046955","E00046955",298,26,23,249
"E00046956","E00046956",280,41,28,211
"E00046957","E00046957",268,40,37,191
"E00046958","E00046958",279,32,22,225
"E00046959","E00046959",204,22,24,158
"E00046960","E00046960",262,45,33,184
"E00046961","E00046961",351,35,29,287
"E00046962","E00046962",267,33,42,192
"E00046963","E00046963",316,29,40,247
"E00046964","E00046964",321,34,30,257
"E00046965","E00046965",310,49,33,228
"E00046966","E00046966",310,29,40,241
"E00046967","E00046967",456,27,36,393
"E00046968","E00046968",260,16,27,217
"E00046969","E00046969",254,17,26,211
"E00046970","E00046970",226,19,30,177
"E00046971","E00046971",351,19,31,301
"E00046973","E00046973",277,31,30,216
"E00046974","E00046974",277,20,22,235
"E00046975","E00046975",428,57,35,336
"E00046976","E00046976",311,29,32,250
"E00046977","E00046977",418,41,56,321
"E00046978","E00046978",311,35,27,249
"E00046979","E00046979",456,31,42,383
"E00046980","E00046980",544,36,35,473
"E00046981","E00046981",389,27,33,329
"E00046982","E00046982",283,31,24,228
"E00046983","E00046983",308,20,15,273
"E00046984","E00046984",377,34,30,313
"E00046985","E00046985",344,35,28,281
"E00046986","E00046986",466,35,35,396
"E00046987","E00046987",246,25,31,190
"E00046988","E00046988",342,26,40,276
"E00046989","E00046989",355,24,35,296
"E00046990","E00046990",376,22,31,323
"E00046991","E00046991",364,19,43,302
"E00046993","E00046993",390,34,36,320
"E00046994","E00046994",384,35,33,316
"E00046995","E00046995",312,21,27,264
"E00046996","E00046996",435,32,57,346
"E00046997","E00046997",204,17,23,164
"E00046998","E00046998",439,26,41,372
"E00046999","E00046999",450,36,47,367
"E00047000","E00047000",442,36,37,369
"E00047001","E00047001",401,30,46,325
"E00047002","E00047002",477,31,39,407
"E00047003","E00047003",437,37,41,359
"E00047004","E00047004",427,35,37,355
"E00047005","E00047005",159,28,18,113
"E00047006","E00047006",261,53,30,178
"E00047007","E00047007",420,12,35,373
"E00047009","E00047009",455,43,51,361
"E00047010","E00047010",213,17,28,168
"E00047011","E00047011",177,13,20,144
"E00047012","E00047012",239,27,17,195
"E00047013","E00047013",426,41,37,348
"E00047014","E00047014",356,34,33,289
"E00047015","E00047015",364,35,47,282
"E00047016","E00047016",293,22,26,245
"E00047017","E00047017",204,11,17,176
"E00047019","E00047019",381,29,37,315
"E00047020","E00047020",319,16,29,274
"E00047021","E00047021",222,19,23,180
"E00047022","E00047022",362,49,38,275
"E00047024","E00047024",278,18,20,240
"E00047025","E00047025",528,46,54,428
"E00047026","E00047026",377,31,30,316
"E00047027","E00047027",456,47,36,373
"E00047028","E00047028",331,12,33,286
"E00047030","E00047030",291,21,23,247
"E00047031","E00047031",416,49,41,326
"E00047032","E00047032",410,42,45,323
"E00047033","E00047033",393,25,26,342
"E00047034","E00047034",283,18,24,241
"E00047035","E00047035",461,43,51,367
"E00047036","E00047036",398,14,23,361
"E00047037","E00047037",365,29,52,284
"E00047038","E00047038",239,19,16,204
"E00047039","E00047039",380,29,40,311
"E00047040","E00047040",354,30,39,285
"E00047041","E00047041",401,39,46,316
"E00047042","E00047042",303,18,24,261
"E00047043","E00047043",495,41,59,395
"E00047044","E00047044",286,30,26,230
"E00047045","E00047045",368,14,18,336
"E00047047","E00047047",344,30,35,279
"E00047048","E00047048",404,38,34,332
"E00047049","E00047049",365,28,36,301
"E00047050","E00047050",350,38,37,275
"E00047051","E00047051",449,42,41,366
"E00047052","E00047052",392,43,40,309
"E00047053","E00047053",513,58,47,408
"E00047054","E00047054",414,38,40,336
"E00047055","E00047055",388,32,45,311
"E00047056","E00047056",309,13,17,279
"E00047057","E00047057",511,9,18,484
"E00047058","E00047058",439,10,12,417
"E00047059","E00047059",301,20,27,254
"E00047060","E00047060",396,2,11,383
"E00047061","E00047061",231,24,42,165
"E00047062","E00047062",369,18,26,325
"E00047063","E00047063",436,13,16,407
"E00047064","E00047064",289,30,24,235
"E00047065","E00047065",378,32,41,305
"E00047066","E00047066",292,19,27,246
"E00047067","E00047067",503,11,8,484
"E00047068","E00047068",367,19,25,323
"E00047069","E00047069",246,9,11,226
"E00047070","E00047070",359,22,34,303
"E00047071","E00047071",319,7,27,285
"E00047072","E00047072",380,14,31,335
"E00047073","E00047073",276,21,23,232
"E00047074","E00047074",415,6,15,394
"E00047075","E00047075",390,38,53,299
"E00047076","E00047076",517,8,21,488
"E00047077","E00047077",287,20,17,250
"E00047078","E00047078",313,21,23,269
"E00047079","E00047079",286,17,20,249
"E00047080","E00047080",222,14,21,187
"E00047081","E00047081",407,21,32,354
"E00047082","E00047082",360,26,20,314
"E00047083","E00047083",238,45,28,165
"E00047084","E00047084",185,15,22,148
"E00047085","E00047085",473,80,72,321
"E00047086","E00047086",414,8,25,381
"E00047087","E00047087",309,22,24,263
"E00047088","E00047088",278,37,27,214
"E00047089","E00047089",310,27,30,253
"E00047090","E00047090",419,16,26,377
"E00047091","E00047091",358,16,25,317
"E00047092","E00047092",286,10,17,259
"E00047093","E00047093",330,16,17,297
"E00047094","E00047094",322,20,42,260
"E00047095","E00047095",316,34,28,254
"E00047096","E00047096",284,18,33,233
"E00047097","E00047097",353,31,31,291
"E00047098","E00047098",242,42,29,171
"E00047099","E00047099",278,18,27,233
"E00047100","E00047100",358,18,22,318
"E00047101","E00047101",214,8,15,191
"E00047102","E00047102",287,38,36,213
"E00047103","E00047103",357,64,52,241
"E00047104","E00047104",273,11,20,242
"E00047105","E00047105",253,54,20,179
"E00047107","E00047107",382,41,32,309
"E00047109","E00047109",524,6,16,502
"E00047110","E00047110",310,40,19,251
"E00047111","E00047111",526,7,17,502
"E00047112","E00047112",272,5,13,254
"E00047113","E00047113",348,58,50,240
"E00047114","E00047114",512,3,16,493
"E00047116","E00047116",435,7,9,419
"E00047117","E00047117",534,11,22,501
"E00047118","E00047118",303,24,28,251
"E00047119","E00047119",267,8,26,233
"E00047120","E00047120",240,8,30,202
"E00047121","E00047121",413,28,19,366
"E00047122","E00047122",553,16,22,515
"E00047123","E00047123",316,29,33,254
"E00047124","E00047124",464,4,7,453
"E00047125","E00047125",308,4,9,295
"E00047126","E00047126",323,22,28,273
"E00047127","E00047127",334,6,26,302
"E00047128","E00047128",357,38,35,284
"E00047129","E00047129",323,58,24,241
"E00047130","E00047130",299,28,29,242
"E00047131","E00047131",499,6,19,474
"E00047134","E00047134",262,14,24,224
"E00047135","E00047135",470,4,18,448
"E00047136","E00047136",403,76,32,295
"E00047137","E00047137",337,42,31,264
"E00047138","E00047138",295,38,30,227
"E00047139","E00047139",339,23,22,294
"E00047140","E00047140",249,20,20,209
"E00047141","E00047141",291,20,20,251
"E00047142","E00047142",250,45,32,173
"E00047143","E00047143",277,13,29,235
"E00047144","E00047144",289,27,24,238
"E00047145","E00047145",398,53,39,306
"E00047146","E00047146",212,47,25,140
"E00047147","E00047147",306,36,26,244
"E00047148","E00047148",347,26,29,292
"E00047149","E00047149",287,25,30,232
"E00047150","E00047150",326,35,24,267
"E00047151","E00047151",305,24,27,254
"E00047152","E00047152",272,22,33,217
"E00047153","E00047153",294,30,14,250
"E00047154","E00047154",311,23,26,262
"E00047155","E00047155",276,26,13,237
"E00047156","E00047156",349,36,32,281
"E00047157","E00047157",311,34,25,252
"E00047158","E00047158",215,28,32,155
"E00047159","E00047159",308,43,22,243
"E00047160","E00047160",393,33,39,321
"E00047161","E00047161",272,44,18,210
"E00047162","E00047162",332,44,28,260
"E00047163","E00047163",283,35,34,214
"E00047164","E00047164",321,36,25,260
"E00047165","E00047165",317,39,36,242
"E00047166","E00047166",233,14,12,207
"E00047167","E00047167",291,35,27,229
"E00047168","E00047168",283,45,30,208
"E00047169","E00047169",192,49,55,88
"E00047170","E00047170",287,33,39,215
"E00047171","E00047171",234,49,28,157
"E00047172","E00047172",345,112,48,185
"E00047173","E00047173",244,41,32,171
"E00047174","E00047174",266,27,36,203
"E00047175","E00047175",227,35,31,161
"E00047176","E00047176",332,39,25,268
"E00047177","E00047177",279,36,25,218
"E00047178","E00047178",270,51,32,187
"E00047179","E00047179",193,23,41,129
"E00047180","E00047180",305,31,29,245
"E00047181","E00047181",307,42,36,229
"E00047182","E00047182",268,38,41,189
"E00047183","E00047183",296,38,32,226
"E00047184","E00047184",243,60,31,152
"E00047185","E00047185",261,31,16,214
"E00047186","E00047186",268,41,25,202
"E00047187","E00047187",316,44,24,248
"E00047188","E00047188",224,36,27,161
"E00047189","E00047189",336,55,29,252
"E00047190","E00047190",278,28,39,211
"E00047191","E00047191",292,36,13,243
"E00047192","E00047192",252,49,37,166
"E00047193","E00047193",359,44,33,282
"E00047194","E00047194",507,47,52,408
"E00047195","E00047195",257,53,27,177
"E00047196","E00047196",218,12,14,192
"E00047198","E00047198",293,23,29,241
"E00047199","E00047199",356,45,34,277
"E00047200","E00047200",250,23,25,202
"E00047201","E00047201",321,36,28,257
"E00047202","E00047202",322,29,31,262
"E00047203","E00047203",280,48,39,193
"E00047204","E00047204",253,35,29,189
"E00047205","E00047205",316,35,38,243
"E00047206","E00047206",316,41,32,243
"E00047208","E00047208",306,53,46,207
"E00047209","E00047209",275,42,37,196
"E00047210","E00047210",299,46,42,211
"E00047211","E00047211",317,39,39,239
"E00047212","E00047212",245,40,32,173
"E00047213","E00047213",326,82,45,199
"E00047214","E00047214",316,25,30,261
"E00047215","E00047215",318,69,35,214
"E00047216","E00047216",318,53,34,231
"E00047217","E00047217",338,26,32,280
"E00047218","E00047218",334,31,30,273
"E00047219","E00047219",364,33,26,305
"E00047220","E00047220",226,16,33,177
"E00047221","E00047221",231,27,31,173
"E00047222","E00047222",314,20,29,265
"E00047223","E00047223",331,28,30,273
"E00047224","E00047224",310,21,26,263
"E00047225","E00047225",387,21,28,338
"E00047226","E00047226",346,24,30,292
"E00047227","E00047227",290,57,37,196
"E00047228","E00047228",352,15,32,305
"E00047229","E00047229",333,18,35,280
"E00047230","E00047230",229,31,23,175
"E00047231","E00047231",332,25,26,281
"E00047232","E00047232",338,16,23,299
"E00047233","E00047233",308,39,32,237
"E00047234","E00047234",239,31,27,181
"E00047235","E00047235",252,21,24,207
"E00047236","E00047236",302,12,24,266
"E00047237","E00047237",317,21,31,265
"E00047238","E00047238",280,36,19,225
"E00047239","E00047239",313,28,35,250
"E00047240","E00047240",356,25,34,297
"E00047241","E00047241",277,19,26,232
"E00047242","E00047242",279,22,22,235
"E00047243","E00047243",279,27,29,223
"E00047244","E00047244",264,41,33,190
"E00047245","E00047245",320,40,30,250
"E00047246","E00047246",246,36,23,187
"E00047247","E00047247",325,28,29,268
"E00047248","E00047248",347,41,34,272
"E00047249","E00047249",357,43,33,281
"E00047250","E00047250",363,34,37,292
"E00047251","E00047251",290,20,31,239
"E00047252","E00047252",253,39,27,187
"E00047253","E00047253",194,27,27,140
"E00047254","E00047254",303,18,28,257
"E00047255","E00047255",291,58,32,201
"E00047256","E00047256",242,48,28,166
"E00047257","E00047257",311,50,44,217
"E00047258","E00047258",225,51,37,137
"E00047259","E00047259",276,34,32,210
"E00047260","E00047260",290,15,29,246
"E00047261","E00047261",277,54,34,189
"E00047262","E00047262",254,48,40,166
"E00047263","E00047263",257,24,21,212
"E00047264","E00047264",326,33,39,254
"E00047265","E00047265",351,26,29,296
"E00047266","E00047266",305,30,35,240
"E00047267","E00047267",257,22,30,205
"E00047268","E00047268",354,76,53,225
"E00047269","E00047269",315,19,26,270
"E00047270","E00047270",286,37,35,214
"E00047271","E00047271",314,18,27,269
"E00047272","E00047272",348,51,33,264
"E00047273","E00047273",290,26,31,233
"E00047274","E00047274",310,18,43,249
"E00047275","E00047275",356,26,27,303
"E00047276","E00047276",306,34,26,246
"E00047277","E00047277",266,19,25,222
"E00047278","E00047278",293,26,30,237
"E00047279","E00047279",309,48,33,228
"E00047280","E00047280",325,37,45,243
"E00047281","E00047281",243,47,41,155
"E00047282","E00047282",400,50,36,314
"E00047283","E00047283",290,17,30,243
"E00047284","E00047284",324,45,34,245
"E00047285","E00047285",283,44,41,198
"E00047286","E00047286",269,29,29,211
"E00047287","E00047287",315,44,27,244
"E00047288","E00047288",352,30,37,285
"E00047289","E00047289",461,31,29,401
"E00047290","E00047290",539,57,46,436
"E00047291","E00047291",557,55,51,451
"E00047292","E00047292",487,38,45,404
"E00047293","E00047293",329,29,43,257
"E00047294","E00047294",459,61,59,339
"E00047295","E00047295",357,33,28,296
"E00047296","E00047296",459,25,35,399
"E00047297","E00047297",598,68,68,462
"E00047298","E00047298",530,50,47,433
"E00047299","E00047299",369,26,33,310
"E00047300","E00047300",516,58,45,413
"E00047301","E00047301",501,46,47,408
"E00047302","E00047302",488,64,55,369
